SRC,MULT,CH1,CH2,VBAT,VPOW,IBAT
1.875, 3.749, 7.997, 7.997, 8.005, 8.006, 1486.700
1.880, 3.759, 7.997, 7.997, 8.005, 8.006, 1486.000
1.885, 3.769, 7.997, 7.997, 8.005, 8.006, 1486.000
1.890, 3.779, 7.997, 7.997, 8.005, 8.006, 1485.600
1.895, 3.789, 7.997, 7.997, 8.005, 8.006, 1484.900
1.900, 3.799, 7.997, 7.997, 8.005, 8.006, 1485.000
1.905, 3.809, 7.997, 7.997, 8.005, 8.006, 1484.100
1.910, 3.819, 7.997, 7.997, 8.005, 8.006, 1484.600
1.915, 3.829, 7.997, 7.997, 8.005, 8.006, 1481.600
1.920, 3.840, 7.997, 7.997, 8.005, 8.006, 1483.500
1.925, 3.849, 7.997, 7.997, 8.005, 8.006, 1481.900
1.930, 3.859, 7.997, 7.997, 8.005, 8.006, 1479.400
1.935, 3.870, 7.997, 7.997, 8.005, 8.006, 1480.400
1.940, 3.880, 7.997, 7.997, 8.005, 8.006, 1479.200
1.945, 3.890, 7.997, 7.997, 8.005, 8.006, 1477.700
1.950, 3.899, 7.997, 7.997, 8.005, 8.006, 1478.400
1.955, 3.910, 7.997, 7.997, 8.005, 8.006, 1477.500
1.960, 3.920, 7.997, 7.997, 8.005, 8.006, 1477.500
1.965, 3.930, 7.997, 7.997, 8.005, 8.006, 1476.400
1.970, 3.940, 7.997, 7.997, 8.005, 8.006, 1476.800
1.975, 3.950, 7.997, 7.997, 8.005, 8.006, 1476.200
1.980, 3.960, 7.997, 7.997, 8.005, 8.006, 1475.700
1.985, 3.970, 7.997, 7.997, 8.005, 8.006, 1475.500
1.990, 3.980, 7.997, 7.997, 8.005, 8.006, 1476.000
1.995, 3.990, 7.997, 7.997, 8.005, 8.006, 1475.400
2.000, 4.000, 7.997, 7.997, 8.005, 8.006, 1475.400
2.005, 4.010, 7.997, 7.997, 8.005, 8.006, 1474.400
2.010, 4.021, 7.997, 7.997, 8.005, 8.006, 1474.100
2.015, 4.030, 7.997, 7.997, 8.005, 8.006, 1474.300
2.020, 4.040, 7.997, 7.997, 8.005, 8.006, 1473.600
2.025, 4.047, 7.997, 7.997, 8.005, 8.006, 1473.400
2.030, 4.057, 7.997, 7.997, 8.005, 8.006, 1473.200
2.035, 4.067, 7.997, 7.997, 8.005, 8.006, 1472.800
2.040, 4.077, 7.997, 7.997, 8.005, 8.006, 1472.000
2.045, 4.087, 7.997, 7.997, 8.005, 8.006, 1471.600
2.050, 4.097, 7.997, 7.997, 8.005, 8.006, 1471.500
2.055, 4.108, 7.997, 7.997, 8.005, 8.006, 1471.600
2.060, 4.117, 7.997, 7.997, 8.005, 8.006, 1471.800
2.065, 4.127, 7.997, 7.997, 8.005, 8.006, 1470.600
2.070, 4.137, 7.997, 7.997, 8.005, 8.006, 1468.300
2.075, 4.147, 7.997, 7.997, 8.005, 8.006, 1467.300
2.080, 4.157, 7.997, 7.997, 8.005, 8.006, 1466.300
2.085, 4.167, 7.997, 7.997, 8.005, 8.006, 1465.400
2.090, 4.177, 7.997, 7.997, 8.005, 8.006, 1466.000
2.095, 4.188, 7.997, 7.997, 8.005, 8.006, 1465.000
2.100, 4.196, 7.997, 7.997, 8.005, 8.006, 1464.900
2.105, 4.206, 7.997, 7.997, 8.005, 8.006, 1464.700
