SRC,MULT,CH1,CH2,VBAT,VPOW,IBAT
0.350, 0.695, 7.997, 7.997, 8.005, 8.006, 1622.200
0.355, 0.706, 7.997, 7.997, 8.005, 8.006, 1622.600
0.360, 0.716, 7.997, 7.997, 8.005, 8.006, 1621.300
0.365, 0.725, 7.997, 7.997, 8.005, 8.006, 1621.000
0.370, 0.736, 7.997, 7.997, 8.005, 8.006, 1620.200
0.375, 0.746, 7.997, 7.997, 8.005, 8.006, 1620.300
0.380, 0.757, 7.997, 7.997, 8.005, 8.006, 1619.700
0.385, 0.765, 7.997, 7.997, 8.005, 8.006, 1619.900
0.390, 0.775, 7.997, 7.997, 8.005, 8.006, 1619.400
0.395, 0.786, 7.997, 7.997, 8.005, 8.006, 1618.600
0.400, 0.796, 7.997, 7.997, 8.005, 8.006, 1618.500
0.405, 0.807, 7.997, 7.997, 8.005, 8.006, 1618.200
0.410, 0.816, 7.997, 7.997, 8.005, 8.006, 1618.200
0.415, 0.826, 7.997, 7.997, 8.005, 8.006, 1617.000
0.420, 0.835, 7.997, 7.997, 8.005, 8.006, 1617.100
0.425, 0.846, 7.997, 7.997, 8.005, 8.006, 1617.000
0.430, 0.855, 7.997, 7.997, 8.005, 8.006, 1616.000
0.435, 0.865, 7.997, 7.997, 8.005, 8.006, 1616.300
0.440, 0.875, 7.997, 7.997, 8.005, 8.006, 1616.200
0.445, 0.886, 7.997, 7.997, 8.005, 8.006, 1615.500
0.450, 0.896, 7.997, 7.997, 8.005, 8.006, 1614.900
0.455, 0.905, 7.997, 7.997, 8.005, 8.006, 1614.800
0.460, 0.915, 7.997, 7.997, 8.005, 8.006, 1614.300
0.465, 0.926, 7.997, 7.997, 8.005, 8.006, 1614.400
0.470, 0.936, 7.997, 7.997, 8.005, 8.006, 1614.300
0.475, 0.945, 7.997, 7.997, 8.005, 8.006, 1613.400
0.480, 0.956, 7.997, 7.997, 8.005, 8.006, 1613.000
0.485, 0.965, 7.997, 7.997, 8.005, 8.006, 1613.000
0.490, 0.976, 7.997, 7.997, 8.005, 8.006, 1610.600
0.495, 0.986, 7.997, 7.997, 8.005, 8.006, 1610.000
0.500, 0.995, 7.997, 7.997, 8.005, 8.006, 1609.700
0.505, 1.005, 7.997, 7.997, 8.005, 8.006, 1609.100
0.510, 1.015, 7.997, 7.997, 8.005, 8.006, 1608.600
0.515, 1.025, 7.997, 7.997, 8.005, 8.006, 1607.400
0.520, 1.034, 7.997, 7.997, 8.005, 8.006, 1606.700
