SRC,MULT,CH1,CH2,VBAT,VPOW
9.020, 9.015, 9.291, 9.356, 1814.800, 1769.000
9.030, 9.024, 9.302, 9.363, 1819.400, 1770.800
9.040, 9.037, 9.314, 9.373, 1821.700, 1772.500
9.050, 9.045, 9.325, 9.385, 1822.100, 1773.900
9.060, 9.056, 9.338, 9.394, 1824.700, 1774.400
9.070, 9.063, 9.343, 9.406, 1825.800, 1777.300
9.080, 9.072, 9.352, 9.415, 1826.000, 1781.300
9.090, 9.085, 9.369, 9.431, 1830.100, 1783.000
9.100, 9.093, 9.376, 9.437, 1833.700, 1784.300
9.110, 9.105, 9.388, 9.450, 1834.800, 1786.100
9.120, 9.113, 9.398, 9.460, 1836.100, 1787.300
9.130, 9.126, 9.409, 9.468, 1837.900, 1790.700
9.140, 9.135, 9.413, 9.483, 1838.900, 1794.400
9.150, 9.142, 9.426, 9.491, 1842.500, 1795.600
9.160, 9.154, 9.432, 9.505, 1846.600, 1796.900
9.170, 9.162, 9.439, 9.505, 1847.100, 1798.400
9.180, 9.175, 9.447, 9.516, 1849.100, 1800.600
9.190, 9.185, 9.456, 9.526, 1850.800, 1801.700
9.200, 9.196, 9.464, 9.536, 1855.400, 1807.200
9.210, 9.204, 9.479, 9.548, 1857.200, 1808.000
9.220, 9.212, 9.486, 9.558, 1858.600, 1809.000
9.230, 9.225, 9.494, 9.567, 1859.800, 1810.900
9.240, 9.234, 9.506, 9.578, 1861.500, 1812.900
9.250, 9.245, 9.523, 9.584, 1862.900, 1813.000
9.260, 9.254, 9.527, 9.596, 1864.300, 1818.100
9.270, 9.267, 9.549, 9.607, 1866.600, 1820.600
9.280, 9.275, 9.552, 9.614, 1871.600, 1821.900
9.290, 9.284, 9.565, 9.623, 1871.900, 1823.200
9.300, 9.294, 9.576, 9.637, 1874.100, 1825.300
9.310, 9.303, 9.583, 9.641, 1875.800, 1826.000
9.320, 9.316, 9.589, 9.655, 1877.400, 1830.800
9.330, 9.324, 9.598, 9.659, 1878.200, 1833.500
9.340, 9.332, 9.602, 9.669, 1882.700, 1834.000
9.350, 9.343, 9.613, 9.677, 1884.300, 1835.100
9.360, 9.352, 9.618, 9.686, 1886.000, 1837.000
9.370, 9.365, 9.629, 9.696, 1887.800, 1838.400
9.380, 9.373, 9.639, 9.704, 1889.200, 1839.300
9.390, 9.385, 9.652, 9.717, 1890.700, 1846.200
9.400, 9.393, 9.660, 9.724, 1891.800, 1847.000
9.410, 9.401, 9.665, 9.735, 1896.100, 1847.000
9.420, 9.415, 9.674, 9.749, 1898.500, 1849.700
9.430, 9.423, 9.685, 9.754, 1900.300, 1851.100
9.440, 9.434, 9.691, 9.765, 1901.900, 1855.600
9.450, 9.442, 9.698, 9.776, 1903.000, 1858.000
9.460, 9.456, 9.708, 9.791, 1906.100, 1859.000
9.470, 9.465, 9.722, 9.804, 1910.200, 1860.200
9.480, 9.472, 9.729, 9.812, 1911.100, 1861.200
9.490, 9.484, 9.743, 9.819, 1912.800, 1863.500
9.500, 9.492, 9.754, 9.832, 1913.600, 1864.300
9.510, 9.505, 9.763, 9.839, 1915.800, 1868.300
9.520, 9.514, 9.778, 9.849, 1916.900, 1871.500
9.530, 9.522, 9.780, 9.856, 1919.600, 1872.000
9.540, 9.534, 9.797, 9.864, 1923.300, 1874.000
9.550, 9.541, 9.805, 9.873, 1924.600, 1875.600
9.560, 9.555, 9.826, 9.891, 1926.300, 1877.200
9.570, 9.564, 9.828, 9.900, 1928.000, 1878.400
9.580, 9.575, 9.844, 9.909, 1929.700, 1884.300
9.590, 9.584, 9.852, 9.918, 1931.200, 1885.000
9.600, 9.592, 9.858, 9.924, 1936.100, 1886.300
9.610, 9.605, 9.876, 9.936, 1937.700, 1888.100
9.620, 9.614, 9.887, 9.945, 1939.000, 1889.900
9.630, 9.625, 9.891, 9.958, 1940.500, 1891.000
9.640, 9.633, 9.905, 9.965, 1941.700, 1894.200
9.650, 9.647, 9.914, 9.980, 1943.500, 1897.800
9.660, 9.655, 9.917, 9.989, 1949.000, 1899.600
9.670, 9.663, 9.923, 9.995, 1950.000, 1900.900
9.680, 9.674, 9.935, 10.006, 1951.500, 1902.400
9.690, 9.683, 9.946, 10.011, 1952.600, 1904.000
9.700, 9.696, 9.958, 10.017, 1954.800, 1908.700
9.710, 9.704, 9.968, 10.029, 1955.500, 1910.400
9.720, 9.714, 9.973, 10.037, 1960.300, 1911.400
9.730, 9.724, 9.987, 10.052, 1962.900, 1912.900
9.740, 9.733, 9.989, 10.062, 1963.700, 1914.500
9.750, 9.747, 10.001, 10.073, 1965.600, 1916.800
9.760, 9.754, 10.008, 10.085, 1966.900, 1917.300
9.770, 9.766, 10.015, 10.094, 1967.900, 1923.300
9.780, 9.774, 10.028, 10.101, 1969.800, 1924.100
9.790, 9.783, 10.036, 10.112, 1974.300, 1925.800
9.800, 9.796, 10.049, 10.125, 1975.800, 1927.000
9.810, 9.804, 10.055, 10.132, 1978.100, 1928.800
9.820, 9.816, 10.068, 10.143, 1979.700, 1930.000
9.830, 9.823, 10.079, 10.149, 1980.300, 1934.100
9.840, 9.837, 10.093, 10.163, 1983.100, 1937.000
9.850, 9.845, 10.103, 10.167, 1986.700, 1938.000
9.860, 9.853, 10.110, 10.177, 1988.300, 1939.100
9.870, 9.864, 10.118, 10.188, 1990.700, 1940.800
9.880, 9.872, 10.136, 10.196, 1991.500, 1942.000
9.890, 9.886, 10.147, 10.213, 1993.000, 1945.600
9.900, 9.894, 10.153, 10.218, 1994.100, 1949.500
9.910, 9.905, 10.169, 10.227, 1999.100, 1950.000
9.920, 9.914, 10.177, 10.236, 2000.500, 1951.600
9.930, 9.922, 10.188, 10.244, 2002.600, 1952.800
9.940, 9.935, 10.201, 10.255, 2003.800, 1954.900
9.950, 9.944, 10.211, 10.267, 2005.500, 1957.000
9.960, 9.955, 10.215, 10.277, 2006.900, 1962.400
9.970, 9.963, 10.227, 10.288, 2009.100, 1963.000
9.980, 9.971, 10.234, 10.292, 2012.900, 1963.600
9.990, 9.985, 10.243, 10.309, 2015.500, 1965.700
10.000, 9.994, 10.250, 10.316, 2016.800, 1967.000
10.010, 10.005, 10.257, 10.325, 2017.900, 1968.100
10.020, 10.014, 10.267, 10.330, 2019.300, 1971.500
10.030, 10.027, 10.281, 10.344, 2022.800, 1975.000
10.040, 10.034, 10.283, 10.348, 2026.000, 1976.800
10.050, 10.044, 10.301, 10.361, 2027.700, 1977.900
10.060, 10.054, 10.309, 10.371, 2028.800, 1979.800
10.070, 10.063, 10.320, 10.381, 2029.900, 1980.500
10.080, 10.076, 10.333, 10.396, 2032.600, 1985.900
10.090, 10.084, 10.340, 10.404, 2033.100, 1987.600
10.100, 10.096, 10.356, 10.415, 2036.900, 1989.100
10.110, 10.104, 10.363, 10.423, 2039.800, 1990.700
10.120, 10.114, 10.376, 10.437, 2041.800, 1992.100
10.130, 10.127, 10.387, 10.450, 2042.900, 1993.800
10.140, 10.135, 10.396, 10.458, 2044.800, 1995.300
10.150, 10.147, 10.400, 10.469, 2045.900, 2000.400
10.160, 10.155, 10.410, 10.479, 2049.500, 2001.900
10.170, 10.163, 10.415, 10.480, 2052.300, 2003.300
10.180, 10.177, 10.427, 10.493, 2054.000, 2004.100
10.190, 10.185, 10.441, 10.505, 2055.000, 2006.500
10.200, 10.196, 10.450, 10.519, 2057.300, 2009.600
10.210, 10.204, 10.459, 10.522, 2059.800, 2012.700
10.220, 10.218, 10.470, 10.540, 2064.200, 2013.600
10.230, 10.226, 10.479, 10.545, 2065.800, 2016.100
10.240, 10.234, 10.492, 10.554, 2067.000, 2017.000
10.250, 10.247, 10.507, 10.563, 2068.300, 2018.900
10.260, 10.254, 10.517, 10.574, 2069.400, 2019.900
10.270, 10.267, 10.529, 10.588, 2070.900, 2023.300
10.280, 10.276, 10.532, 10.593, 2074.000, 2026.600
10.290, 10.287, 10.543, 10.610, 2078.100, 2028.700
10.300, 10.296, 10.548, 10.620, 2078.700, 2029.100
10.310, 10.303, 10.555, 10.625, 2080.800, 2030.000
10.320, 10.317, 10.568, 10.641, 2081.900, 2033.000
10.330, 10.326, 10.571, 10.642, 2083.700, 2035.300
10.340, 10.336, 10.583, 10.655, 2084.700, 2038.700
10.350, 10.345, 10.594, 10.662, 2088.600, 2040.300
10.360, 10.353, 10.602, 10.669, 2091.200, 2041.600
10.370, 10.366, 10.619, 10.680, 2092.500, 2042.600
10.380, 10.375, 10.628, 10.688, 2094.400, 2044.600
10.390, 10.386, 10.635, 10.697, 2095.900, 2045.900
10.400, 10.394, 10.645, 10.713, 2096.500, 2049.100
10.410, 10.408, 10.662, 10.728, 2101.600, 2053.000
10.420, 10.415, 10.667, 10.734, 2103.600, 2054.100
10.430, 10.424, 10.683, 10.746, 2105.300, 2055.000
10.440, 10.435, 10.689, 10.758, 2106.800, 2057.300
10.450, 10.444, 10.695, 10.768, 2108.000, 2061.400
10.460, 10.457, 10.711, 10.780, 2109.700, 2065.000
10.470, 10.465, 10.718, 10.785, 2111.900, 2066.000
10.480, 10.477, 10.729, 10.797, 2115.900, 2067.100
10.490, 10.484, 10.731, 10.799, 2117.900, 2067.900
10.500, 10.493, 10.739, 10.809, 2119.300, 2069.200
10.510, 10.507, 10.751, 10.824, 2120.800, 2071.000
10.520, 10.515, 10.761, 10.838, 2122.200, 2073.800
10.530, 10.526, 10.771, 10.850, 2123.900, 2078.500
10.540, 10.534, 10.778, 10.858, 2127.700, 2079.200
10.550, 10.543, 10.796, 10.862, 2130.000, 2080.400
10.560, 10.556, 10.807, 10.876, 2132.600, 2082.200
10.570, 10.564, 10.816, 10.880, 2133.000, 2083.300
10.580, 10.576, 10.836, 10.893, 2134.800, 2086.700
10.590, 10.584, 10.843, 10.901, 2135.700, 2090.400
10.600, 10.597, 10.854, 10.909, 2140.600, 2092.100
10.610, 10.606, 10.857, 10.924, 2142.000, 2093.000
10.620, 10.614, 10.868, 10.927, 2143.900, 2094.300
10.630, 10.625, 10.875, 10.937, 2145.800, 2095.900
10.640, 10.633, 10.879, 10.946, 2146.200, 2097.000
10.650, 10.648, 10.892, 10.956, 2148.900, 2102.700
10.660, 10.656, 10.899, 10.969, 2151.500, 2103.600
10.670, 10.667, 10.904, 10.975, 2155.300, 2105.900
10.680, 10.676, 10.911, 10.984, 2157.300, 2107.400
10.690, 10.683, 10.924, 10.992, 2157.800, 2108.900
10.700, 10.697, 10.935, 11.007, 2159.400, 2111.700
10.710, 10.706, 10.945, 11.015, 2161.600, 2114.100
10.720, 10.717, 10.957, 11.031, 2162.700, 2116.600
10.730, 10.725, 10.960, 11.040, 2166.500, 2118.000
10.740, 10.739, 10.971, 11.061, 2169.500, 2119.900
10.750, 10.746, 10.979, 11.061, 2170.800, 2120.900
10.760, 10.755, 10.987, 11.071, 2171.600, 2122.300
10.770, 10.766, 11.003, 11.081, 2172.800, 2123.900
10.780, 10.775, 11.013, 11.093, 2174.800, 2128.700
10.790, 10.788, 11.023, 11.106, 2179.600, 2131.300
10.800, 10.796, 11.037, 11.114, 2181.600, 2132.500
10.810, 10.805, 11.047, 11.119, 2183.300, 2133.000
10.820, 10.816, 11.060, 11.130, 2184.400, 2135.100
10.830, 10.824, 11.067, 11.138, 2185.000, 2136.700
10.840, 10.838, 11.085, 11.153, 2188.100, 2141.700
10.850, 10.846, 11.092, 11.163, 2190.100, 2142.600
10.860, 10.858, 11.107, 11.176, 2194.200, 2145.200
10.870, 10.865, 11.111, 11.181, 2195.000, 2146.000
10.880, 10.874, 11.123, 11.192, 2196.800, 2146.300
10.890, 10.887, 11.134, 11.202, 2197.900, 2149.200
10.900, 10.895, 11.147, 11.206, 2199.900, 2151.000
10.910, 10.907, 11.158, 11.227, 2202.000, 2155.600
10.920, 10.914, 11.165, 11.224, 2205.500, 2157.100
10.930, 10.928, 11.176, 11.239, 2207.900, 2158.000
10.940, 10.937, 11.186, 11.253, 2209.500, 2159.400
10.950, 10.944, 11.189, 11.259, 2210.600, 2161.600
10.960, 10.956, 11.201, 11.267, 2211.900, 2163.200
10.970, 10.964, 11.209, 11.278, 2213.000, 2166.200
10.980, 10.977, 11.220, 11.285, 2216.800, 2169.300
10.990, 10.986, 11.225, 11.294, 2220.200, 2170.500
11.000, 10.994, 11.239, 11.301, 2222.000, 2171.100
11.010, 11.006, 11.252, 11.319, 2223.200, 2173.300
11.020, 11.013, 11.257, 11.324, 2223.900, 2174.900
11.030, 11.026, 11.269, 11.341, 2225.800, 2179.100
11.040, 11.036, 11.281, 11.347, 2230.100, 2182.400
11.050, 11.047, 11.286, 11.361, 2232.600, 2183.100
11.060, 11.055, 11.298, 11.374, 2234.700, 2183.900
11.070, 11.063, 11.302, 11.374, 2236.200, 2185.700
11.080, 11.077, 11.315, 11.394, 2236.900, 2187.700
11.090, 11.085, 11.323, 11.403, 2238.800, 2191.300
11.100, 11.096, 11.336, 11.413, 2241.800, 2194.300
11.110, 11.105, 11.348, 11.423, 2244.400, 2195.700
11.120, 11.118, 11.360, 11.431, 2247.400, 2197.000
11.130, 11.126, 11.362, 11.438, 2248.800, 2198.800
11.140, 11.135, 11.377, 11.447, 2248.800, 2199.800
11.150, 11.146, 11.386, 11.457, 2250.300, 2201.100
11.160, 11.154, 11.390, 11.467, 2252.300, 2205.100
11.170, 11.167, 11.410, 11.483, 2256.800, 2208.100
11.180, 11.175, 11.413, 11.487, 2258.500, 2209.600
11.190, 11.183, 11.425, 11.496, 2260.100, 2211.700
11.200, 11.194, 11.438, 11.506, 2261.900, 2213.500
11.210, 11.203, 11.449, 11.513, 2262.300, 2216.300
11.220, 11.216, 11.461, 11.525, 2265.200, 2219.000
11.230, 11.224, 11.466, 11.532, 2265.900, 2219.800
11.240, 11.236, 11.483, 11.542, 2269.700, 2222.200
11.250, 11.244, 11.489, 11.556, 2272.700, 2222.800
11.260, 11.252, 11.499, 11.566, 2273.800, 2223.900
11.270, 11.266, 11.511, 11.577, 2275.000, 2225.900
11.280, 11.274, 11.516, 11.588, 2276.400, 2228.300
11.290, 11.285, 11.522, 11.597, 2281.400, 2232.700
11.300, 11.293, 11.530, 11.601, 2283.100, 2233.000
11.310, 11.307, 11.543, 11.616, 2286.200, 2236.100
11.320, 11.316, 11.548, 11.621, 2286.800, 2236.900
11.330, 11.323, 11.555, 11.628, 2288.100, 2238.200
11.340, 11.335, 11.571, 11.640, 2290.700, 2241.500
11.350, 11.343, 11.579, 11.650, 2291.500, 2244.800
11.360, 11.356, 11.595, 11.668, 2296.200, 2246.500
11.370, 11.365, 11.606, 11.672, 2297.500, 2248.300
11.380, 11.376, 11.621, 11.686, 2299.300, 2249.000
11.390, 11.385, 11.621, 11.694, 2300.300, 2249.900
11.400, 11.392, 11.640, 11.702, 2301.100, 2251.800
11.410, 11.406, 11.652, 11.720, 2303.200, 2255.800
11.420, 11.415, 11.659, 11.728, 2307.300, 2259.700
11.430, 11.425, 11.668, 11.737, 2310.600, 2261.600
11.440, 11.434, 11.676, 11.745, 2311.900, 2261.900
11.450, 11.442, 11.681, 11.754, 2312.900, 2262.100
11.460, 11.455, 11.693, 11.768, 2314.000, 2264.700
11.470, 11.464, 11.703, 11.775, 2316.000, 2266.200
11.480, 11.475, 11.716, 11.787, 2317.600, 2267.800
11.490, 11.483, 11.726, 11.789, 2320.500, 2270.200
11.500, 11.497, 11.735, 11.806, 2324.800, 2274.000
11.510, 11.505, 11.748, 11.819, 2326.000, 2275.100
11.520, 11.513, 11.754, 11.823, 2326.300, 2276.700
11.530, 11.524, 11.763, 11.834, 2328.100, 2278.600
11.540, 11.533, 11.779, 11.842, 2329.600, 2282.000
11.550, 11.546, 11.790, 11.855, 2335.100, 2286.000
11.560, 11.554, 11.800, 11.868, 2336.000, 2287.100
11.570, 11.566, 11.815, 11.875, 2338.800, 2287.400
11.580, 11.574, 11.819, 11.887, 2339.600, 2290.000
11.590, 11.583, 11.828, 11.897, 2341.100, 2292.800
11.600, 11.596, 11.835, 11.908, 2342.700, 2297.300
11.610, 11.604, 11.843, 11.911, 2346.700, 2297.900
11.620, 11.615, 11.852, 11.925, 2348.800, 2299.300
11.630, 11.623, 11.855, 11.931, 2351.100, 2300.100
11.640, 11.632, 11.863, 11.935, 2351.800, 2300.800
11.650, 11.645, 11.879, 11.949, 2353.000, 2303.300
11.660, 11.653, 11.885, 11.963, 2353.900, 2306.000
11.670, 11.665, 11.904, 11.975, 2358.000, 2310.100
11.680, 11.673, 11.918, 11.981, 2359.800, 2311.500
11.690, 11.686, 11.920, 11.996, 2364.200, 2314.100
11.700, 11.696, 11.938, 12.005, 2364.700, 2316.800
11.710, 11.704, 11.944, 12.012, 2365.600, 2317.300
11.720, 11.715, 11.954, 12.024, 2367.800, 2320.200
11.730, 11.723, 11.968, 12.036, 2368.500, 2323.400
11.740, 11.737, 11.984, 12.046, 2373.700, 2324.300
11.750, 11.745, 11.989, 12.060, 2375.300, 2326.000
11.760, 11.756, 11.997, 12.065, 2377.500, 2326.500
11.770, 11.765, 12.004, 12.077, 2377.800, 2327.900
11.780, 11.773, 12.008, 12.087, 2378.300, 2329.200
11.790, 11.786, 12.021, 12.095, 2381.200, 2334.700
11.800, 11.795, 12.024, 12.102, 2385.500, 2337.100
11.810, 11.806, 12.038, 12.116, 2388.400, 2338.400
11.820, 11.814, 12.048, 12.128, 2390.100, 2339.300
11.830, 11.822, 12.053, 12.134, 2389.800, 2341.000
11.840, 11.836, 12.078, 12.151, 2392.800, 2344.000
11.850, 11.845, 12.083, 12.156, 2394.400, 2346.600
11.860, 11.856, 12.099, 12.168, 2397.400, 2349.100
11.870, 11.865, 12.106, 12.172, 2400.000, 2350.200
11.880, 11.878, 12.120, 12.186, 2402.200, 2352.000
11.890, 11.885, 12.125, 12.189, 2402.900, 2353.100
11.900, 11.894, 12.136, 12.206, 2404.000, 2354.600
11.910, 11.905, 12.146, 12.211, 2406.300, 2356.900
11.920, 11.914, 12.151, 12.226, 2408.900, 2360.400
11.930, 11.927, 12.163, 12.236, 2412.100, 2362.900
11.940, 11.935, 12.170, 12.243, 2414.100, 2364.600
11.950, 11.947, 12.176, 12.249, 2415.900, 2365.200
11.960, 11.954, 12.189, 12.257, 2416.400, 2367.000
11.970, 11.963, 12.199, 12.266, 2417.200, 2368.300
11.980, 11.976, 12.205, 12.275, 2419.900, 2371.000
11.990, 11.984, 12.217, 12.282, 2422.000, 2372.500
12.000, 11.996, 12.231, 12.301, 2424.400, 2376.800
12.010, 12.004, 12.230, 12.308, 2428.500, 2377.700
12.020, 12.017, 12.249, 12.324, 2429.500, 2379.300
12.030, 12.026, 12.251, 12.338, 2430.200, 2381.400
12.040, 12.034, 12.261, 12.343, 2431.700, 2383.100
12.050, 12.045, 12.274, 12.350, 2435.300, 2388.200
12.060, 12.053, 12.280, 12.360, 2438.100, 2389.000
12.070, 12.067, 12.297, 12.379, 2441.000, 2389.700
12.080, 12.075, 12.307, 12.387, 2442.200, 2391.200
12.090, 12.083, 12.313, 12.390, 2443.100, 2393.300
12.100, 12.096, 12.326, 12.403, 2444.900, 2398.600
12.110, 12.103, 12.339, 12.410, 2446.300, 2400.500
12.120, 12.116, 12.355, 12.426, 2450.100, 2402.800
12.130, 12.125, 12.363, 12.435, 2453.000, 2402.900
12.140, 12.136, 12.375, 12.441, 2454.300, 2403.500
12.150, 12.145, 12.384, 12.451, 2455.400, 2404.300
12.160, 12.152, 12.396, 12.460, 2455.800, 2407.000
12.170, 12.166, 12.408, 12.472, 2459.500, 2412.100
12.180, 12.175, 12.420, 12.479, 2462.000, 2413.800
12.190, 12.186, 12.428, 12.492, 2464.100, 2418.100
12.200, 12.195, 12.438, 12.505, 2467.400, 2418.800
12.210, 12.208, 12.456, 12.516, 2468.400, 2421.900
12.220, 12.215, 12.457, 12.517, 2469.200, 2421.800
12.230, 12.231, 12.468, 12.537, 2470.700, 2425.900
12.240, 12.239, 12.473, 12.545, 2472.100, 2427.100
12.250, 12.247, 12.478, 12.550, 2472.600, 2428.100
12.260, 12.258, 12.489, 12.558, 2473.400, 2429.000
12.270, 12.267, 12.497, 12.568, 2474.000, 2429.400
12.280, 12.275, 12.501, 12.571, 2474.700, 2431.500
12.290, 12.288, 12.514, 12.586, 2481.500, 2435.600
12.300, 12.297, 12.532, 12.599, 2487.500, 2439.300
12.310, 12.308, 12.536, 12.606, 2490.500, 2440.900
12.320, 12.316, 12.541, 12.617, 2493.300, 2442.100
12.330, 12.330, 12.556, 12.633, 2493.800, 2443.400
12.340, 12.337, 12.563, 12.640, 2495.700, 2445.300
12.350, 12.346, 12.570, 12.647, 2497.400, 2449.100
12.360, 12.357, 12.577, 12.664, 2500.000, 2452.400
12.370, 12.366, 12.587, 12.669, 2503.000, 2452.800
12.380, 12.379, 12.607, 12.688, 2505.600, 2454.600
12.390, 12.387, 12.612, 12.692, 2506.600, 2455.200
12.400, 12.399, 12.624, 12.710, 2506.800, 2456.900
12.410, 12.407, 12.628, 12.715, 2508.900, 2459.800
12.420, 12.415, 12.638, 12.723, 2511.700, 2461.100
12.430, 12.429, 12.654, 12.735, 2515.000, 2465.200
12.440, 12.437, 12.663, 12.742, 2516.700, 2467.300
12.450, 12.449, 12.676, 12.751, 2519.000, 2468.000
12.460, 12.456, 12.685, 12.764, 2519.600, 2468.900
12.470, 12.465, 12.694, 12.775, 2521.400, 2470.800
12.480, 12.478, 12.711, 12.785, 2523.600, 2472.700
