CH2,MULT
0.0348421052631579,0.0
0.0598157894736842,0.00943069
0.06,0.0171262
0.0796842105263157,0.0302716
0.08,0.0392569
0.1,0.05434385
0.1092105263157894,0.0662983
0.12,0.0805622
0.1399736842105263,0.0890947
0.14,0.099909
0.1599736842105263,0.108837
0.16,0.121982
0.18,0.13426500000000002
0.2,0.153874
0.22,0.17557
0.24,0.1949225
0.2597631578947368,0.20828
0.26,0.221408
0.2799473684210526,0.229123
0.28,0.241164
0.2997894736842105,0.248865
0.3,0.257397
0.32,0.27498900000000004
0.34,0.2943475
0.36,0.3160965
0.3779473684210526,0.328095
0.38,0.3396915
0.4,0.360526
0.42,0.37487800000000004
0.4392105263157895,0.388836
0.44,0.3965245
0.46,0.418743
0.4799210526315789,0.429551
0.48,0.438523
0.4860526315789473,0.446273
0.5,0.459412
0.52,0.479754
0.5393684210526316,0.48831
0.54,0.501847
0.56,0.5138659999999999
0.58,0.533508
0.6,0.5563446666666666
0.62,0.578683
0.6317894736842106,0.587256
0.64,0.599524
0.659157894736842,0.607224
0.66,0.61881
0.6728421052631579,0.626513
0.68,0.635465
0.6999473684210527,0.648592
0.7,0.656308
0.72,0.67428275
0.7542105263157894,0.705986
0.76,0.717659
0.7609736842105264,0.725372
0.78,0.739426
0.7998157894736841,0.747988
0.8,0.758821
0.8199473684210526,0.767738
0.82,0.77542
0.8399473684210526,0.788561
0.84,0.797671
0.8596578947368421,0.808485
0.8598947368421053,0.808513
0.88,0.838299
0.8991842105263158,0.846848
0.9,0.857691
0.9140263157894736,0.866182
0.92,0.879331
0.9369473684210526,0.887025
0.94,0.895975
0.959184210526316,0.906796
0.96,0.915336
0.98,0.929036
1.0,0.956061
1.0063947368421051,0.965009
1.02,0.978166
1.0385,0.985906
1.04,0.998515
1.0590526315789472,1.006189
1.06,1.019369
1.08,1.0321625
1.0999473684210528,1.047654
1.1,1.055339
1.12,1.073327
1.1376315789473683,1.085318
1.14,1.097375
1.1578157894736842,1.105089
1.16,1.11827575
