SRC,MULT,VBAT,VPOW
8.000, 7.992, 7.992, 7.992
8.010, 8.000, 8.000, 8.003
8.020, 8.012, 8.012, 8.014
8.030, 8.019, 8.020, 8.021
8.040, 8.033, 8.034, 8.033
8.050, 8.041, 8.044, 8.042
8.060, 8.049, 8.048, 8.048
8.070, 8.061, 8.061, 8.062
8.080, 8.069, 8.070, 8.070
8.090, 8.082, 8.084, 8.084
8.100, 8.091, 8.094, 8.095
8.110, 8.102, 8.105, 8.103
8.120, 8.111, 8.110, 8.112
8.130, 8.118, 8.116, 8.120
8.140, 8.132, 8.131, 8.135
8.150, 8.132, 8.134, 8.139
8.160, 8.152, 8.148, 8.152
8.170, 8.161, 8.159, 8.162
8.180, 8.174, 8.170, 8.173
8.190, 8.182, 8.182, 8.182
8.200, 8.191, 8.204, 8.183
8.210, 8.201, 8.206, 8.199
8.220, 8.210, 8.212, 8.212
8.230, 8.224, 8.223, 8.228
8.240, 8.231, 8.230, 8.231
8.250, 8.240, 8.240, 8.239
8.260, 8.251, 8.251, 8.251
8.270, 8.259, 8.261, 8.259
8.280, 8.272, 8.273, 8.274
8.290, 8.280, 8.278, 8.281
8.300, 8.292, 8.293, 8.291
8.310, 8.300, 8.301, 8.303
8.320, 8.308, 8.307, 8.307
8.330, 8.322, 8.322, 8.323
8.340, 8.330, 8.332, 8.331
8.350, 8.341, 8.340, 8.340
8.360, 8.349, 8.351, 8.349
8.370, 8.363, 8.365, 8.361
8.380, 8.371, 8.371, 8.376
8.390, 8.379, 8.379, 8.379
8.400, 8.392, 8.393, 8.392
8.410, 8.399, 8.399, 8.400
8.420, 8.412, 8.413, 8.414
8.430, 8.421, 8.421, 8.421
8.440, 8.429, 8.430, 8.429
8.450, 8.441, 8.442, 8.441
8.460, 8.448, 8.445, 8.448
8.470, 8.462, 8.462, 8.461
8.480, 8.471, 8.474, 8.475
8.490, 8.481, 8.488, 8.482
8.500, 8.490, 8.489, 8.489
8.510, 8.498, 8.495, 8.502
8.520, 8.511, 8.511, 8.510
8.530, 8.521, 8.520, 8.523
8.540, 8.532, 8.530, 8.532
8.550, 8.541, 8.540, 8.538
8.560, 8.554, 8.554, 8.553
8.570, 8.562, 8.560, 8.565
8.580, 8.570, 8.573, 8.570
8.590, 8.581, 8.581, 8.580
8.600, 8.590, 8.589, 8.591
8.610, 8.603, 8.604, 8.604
8.620, 8.611, 8.607, 8.607
8.630, 8.623, 8.621, 8.624
8.640, 8.631, 8.631, 8.630
8.650, 8.639, 8.638, 8.637
8.660, 8.653, 8.654, 8.652
8.670, 8.661, 8.661, 8.661
8.680, 8.673, 8.671, 8.673
8.690, 8.681, 8.681, 8.680
8.700, 8.690, 8.689, 8.689
8.710, 8.703, 8.701, 8.703
8.720, 8.710, 8.707, 8.710
8.730, 8.723, 8.727, 8.718
8.740, 8.730, 8.732, 8.730
8.750, 8.743, 8.742, 8.747
8.760, 8.752, 8.753, 8.751
8.770, 8.760, 8.758, 8.757
8.780, 8.772, 8.772, 8.773
8.790, 8.772, 8.772, 8.775
8.800, 8.793, 8.791, 8.792
8.810, 8.801, 8.800, 8.796
8.820, 8.812, 8.808, 8.812
8.830, 8.821, 8.824, 8.821
8.840, 8.829, 8.827, 8.829
8.850, 8.842, 8.842, 8.840
8.860, 8.851, 8.853, 8.853
8.870, 8.862, 8.864, 8.862
8.880, 8.870, 8.870, 8.872
8.890, 8.878, 8.873, 8.878
8.900, 8.891, 8.892, 8.894
8.910, 8.900, 8.901, 8.902
8.920, 8.911, 8.912, 8.909
8.930, 8.920, 8.920, 8.919
8.940, 8.934, 8.934, 8.933
8.950, 8.941, 8.944, 8.941
8.960, 8.950, 8.949, 8.951
8.970, 8.961, 8.962, 8.960
8.980, 8.970, 8.970, 8.972
8.990, 8.983, 8.983, 8.982
9.000, 8.991, 8.991, 8.989
9.010, 9.003, 9.002, 9.003
9.020, 9.010, 9.009, 9.013
9.030, 9.019, 9.022, 9.020
9.040, 9.033, 9.032, 9.031
9.050, 9.040, 9.038, 9.039
9.060, 9.051, 9.053, 9.051
9.070, 9.059, 9.055, 9.058
9.080, 9.068, 9.071, 9.067
9.090, 9.081, 9.081, 9.078
9.100, 9.089, 9.086, 9.088
9.110, 9.100, 9.097, 9.100
9.120, 9.108, 9.106, 9.106
9.130, 9.122, 9.121, 9.122
9.140, 9.130, 9.127, 9.130
9.150, 9.138, 9.138, 9.138
9.160, 9.150, 9.150, 9.147
9.170, 9.150, 9.151, 9.149
9.180, 9.171, 9.165, 9.170
9.190, 9.180, 9.179, 9.177
9.200, 9.191, 9.187, 9.191
9.210, 9.200, 9.199, 9.197
9.220, 9.207, 9.202, 9.206
9.230, 9.221, 9.222, 9.220
9.240, 9.230, 9.229, 9.228
9.250, 9.240, 9.240, 9.241
9.260, 9.249, 9.249, 9.250
9.270, 9.263, 9.266, 9.259
9.280, 9.270, 9.269, 9.268
9.290, 9.279, 9.278, 9.278
9.300, 9.290, 9.290, 9.291
9.310, 9.299, 9.298, 9.298
9.320, 9.312, 9.308, 9.311
9.330, 9.319, 9.318, 9.319
9.340, 9.328, 9.329, 9.328
9.350, 9.339, 9.338, 9.338
9.360, 9.348, 9.348, 9.347
9.370, 9.361, 9.358, 9.360
9.380, 9.369, 9.367, 9.366
9.390, 9.381, 9.377, 9.380
9.400, 9.389, 9.389, 9.388
9.410, 9.397, 9.396, 9.396
9.420, 9.411, 9.411, 9.410
9.430, 9.418, 9.417, 9.417
9.440, 9.430, 9.427, 9.427
9.450, 9.438, 9.439, 9.437
9.460, 9.452, 9.452, 9.453
9.470, 9.460, 9.458, 9.460
9.480, 9.468, 9.466, 9.467
9.490, 9.480, 9.476, 9.481
9.500, 9.488, 9.489, 9.486
