8.900, 8.890, 7.997, 8.454, 1794.500, 1730.900
8.910, 8.899, 7.997, 8.467, 1797.000, 1733.200
8.920, 8.910, 7.997, 8.477, 1798.100, 1734.800
8.930, 8.919, 7.997, 8.488, 1799.800, 1735.800
8.940, 8.933, 7.997, 8.499, 1801.600, 1741.300
8.950, 8.940, 7.997, 8.504, 1806.100, 1742.500
8.960, 8.949, 7.997, 8.514, 1807.800, 1743.200
8.970, 8.960, 7.997, 8.523, 1808.900, 1745.400
8.980, 8.969, 7.997, 8.533, 1810.100, 1746.800
8.990, 8.982, 7.997, 8.549, 1812.500, 1749.900
9.000, 8.990, 7.997, 8.557, 1813.000, 1752.700
9.010, 9.002, 7.997, 8.570, 1818.400, 1755.800
9.020, 9.009, 7.997, 8.580, 1820.300, 1756.000
9.030, 9.018, 7.997, 8.587, 1821.300, 1757.300
9.040, 9.032, 7.997, 8.598, 1822.800, 1759.800
9.050, 9.039, 7.997, 8.606, 1824.600, 1760.400
9.060, 9.050, 7.997, 8.614, 1825.900, 1761.900
9.070, 9.058, 7.997, 8.625, 1826.600, 1766.300
9.080, 9.066, 7.997, 8.635, 1831.100, 1768.500
9.090, 9.080, 7.997, 8.651, 1833.800, 1770.100
9.100, 9.088, 7.997, 8.660, 1834.900, 1771.500
9.110, 9.099, 7.997, 8.674, 1837.100, 1772.900
9.120, 9.107, 7.997, 8.681, 1837.900, 1774.900
9.130, 9.121, 7.997, 8.698, 1839.600, 1778.300
9.140, 9.129, 7.997, 8.706, 1844.500, 1781.800
9.150, 9.137, 7.997, 8.718, 1846.400, 1782.000
9.160, 9.149, 7.997, 8.730, 1847.800, 1783.800
9.170, 9.157, 7.997, 8.742, 1849.000, 1785.200
9.180, 9.170, 7.997, 8.752, 1854.800, 1787.400
9.190, 9.179, 7.997, 8.763, 1855.500, 1789.600
9.200, 9.190, 7.997, 8.771, 1858.400, 1794.400
9.210, 9.199, 7.997, 8.778, 1858.900, 1795.000
9.220, 9.206, 7.997, 8.787, 1859.700, 1796.500
