i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
0.750, 0.743, 2763.500, 2730.200, 1639.600, 13.610, 13.422, -0.789
0.760, 0.754, 2763.900, 2731.000, 1638.300, 13.610, 13.428, -0.807
0.770, 0.763, 2763.200, 2731.200, 1638.500, 13.610, 13.428, -0.807
0.780, 0.773, 2763.800, 2730.800, 1637.800, 13.610, 13.422, -0.816
0.790, 0.783, 2763.500, 2730.900, 1636.200, 13.610, 13.422, -0.823
0.800, 0.793, 2764.500, 2731.600, 1635.400, 13.615, 13.428, -0.829
0.810, 0.803, 2764.500, 2732.400, 1635.700, 13.615, 13.435, -0.829
0.820, 0.813, 2764.500, 2731.300, 1634.200, 13.615, 13.428, -0.865
0.830, 0.823, 2764.500, 2731.900, 1633.600, 13.615, 13.428, -0.884
0.840, 0.833, 2764.500, 2732.100, 1633.400, 13.615, 13.435, -0.884
0.850, 0.843, 2764.600, 2731.700, 1632.700, 13.615, 13.428, -0.908
0.860, 0.854, 2764.500, 2731.400, 1632.100, 13.615, 13.428, -0.908
0.870, 0.863, 2764.800, 2731.200, 1631.900, 13.615, 13.428, -0.948
0.880, 0.873, 2765.200, 2732.300, 1631.600, 13.620, 13.435, -0.948
0.890, 0.883, 2764.600, 2732.100, 1631.600, 13.615, 13.435, -0.948
0.900, 0.893, 2764.600, 2732.000, 1631.200, 13.615, 13.435, -0.948
0.910, 0.904, 2765.600, 2732.800, 1630.800, 13.620, 13.435, -0.976
0.920, 0.914, 2765.500, 2732.500, 1630.400, 13.620, 13.435, -0.976
0.930, 0.924, 2765.200, 2732.800, 1630.300, 13.620, 13.435, -0.976
0.940, 0.934, 2766.300, 2732.300, 1630.000, 13.625, 13.435, -0.976
0.950, 0.944, 2766.100, 2732.000, 1629.300, 13.625, 13.435, -1.004
0.960, 0.954, 2765.700, 2732.100, 1629.300, 13.620, 13.435, -1.004
0.970, 0.964, 2766.200, 2732.800, 1628.900, 13.625, 13.435, -1.015
0.980, 0.974, 2765.700, 2732.400, 1628.800, 13.620, 13.435, -1.015
0.990, 0.984, 2767.000, 2732.200, 1627.800, 13.630, 13.435, -1.081
1.000, 0.994, 2766.400, 2733.000, 1627.500, 13.625, 13.442, -1.081
1.010, 1.004, 2767.300, 2733.200, 1628.000, 13.630, 13.442, -1.015
1.020, 1.014, 2766.900, 2732.800, 1625.500, 13.625, 13.435, -1.097
1.030, 1.024, 2767.200, 2732.500, 1625.900, 13.630, 13.435, -1.097
1.040, 1.034, 2767.700, 2732.300, 1625.200, 13.630, 13.435, -1.097
1.050, 1.044, 2766.500, 2732.500, 1624.300, 13.625, 13.435, -1.108
1.060, 1.054, 2768.000, 2733.100, 1623.700, 13.635, 13.442, -1.121
1.070, 1.064, 2767.600, 2732.700, 1623.600, 13.630, 13.435, -1.121
