v_current,i_meas
1747.2,1.571
1747.9,1.5715
1748.8,1.591
1748.9,1.602
1749.8,1.621
1751.5,1.632
1752.3,1.642
1753.3,1.652
1753.9,1.671
1755.0,1.682
1755.6,1.697
1755.9,1.717
1756.4,1.742
1756.9,1.752
1757.4,1.782
1758.3,1.792
1759.0,1.807
1759.8,1.832
1760.2,1.832
1760.6,1.852
1760.8,1.862
1761.3,1.882
1761.6,1.902
1762.6,1.922
1764.8,1.952
1765.2,1.942
1768.0,1.967
1768.6,1.993
1769.0,2.003
1769.1,2.012
1770.0,2.033
1770.2,2.043
1770.4,2.053
1771.3,2.0725
1772.0,2.093
1772.2,2.101
1772.3,2.111
1772.8,2.121
1773.3,2.132
1773.5,2.141
1775.4,2.1609999999999996
1775.6,2.191
1776.5,2.181
1778.0,2.201
1778.1,2.2215
1779.1,2.242
1781.2,2.252
1782.0,2.312
1783.2,2.271
1784.3,2.352
1784.4,2.361
1784.7,2.371
1785.2,2.347
1785.4,2.322
1785.6,2.342
1785.7,2.402
1786.2,2.412
1786.3,2.421
1786.8,2.462
1787.1,2.452
1788.3,2.471
1789.2,2.492
1790.3,2.502
1791.5,2.522
1792.3,2.542
1793.5,2.552
1794.4,2.562
1795.3,2.582
1795.9,2.607
1796.1,2.613
1796.9,2.642
1797.2,2.652
1797.5,2.662
1797.9,2.671
1798.2,2.682
1798.3,2.692
1799.3,2.702
1799.5,2.712
1799.7,2.721
1800.1,2.732
1800.4,2.742
1800.7,2.752
1800.8,2.763
1801.6,2.772
1803.8,2.783
1804.2,2.792
1805.0,2.813
1807.3,2.823
1807.6,2.833
1807.7,2.853
1808.0,2.8680000000000003
1808.5,2.883
1808.6,2.893
1809.0,2.902
1809.6,2.933
1810.1,2.952
1810.8,2.963
1811.1,2.973
1811.6,2.983
