v_src_ch1,v_meas_ch2,slA_ch1,slA_ch2,slB_ch1,slB_ch2
2.200, 4.334, 1943.700, 1974.800, 1895.000, 2030.700
2.210, 4.347, 1944.000, 1966.400, 1891.900, 1930.800
2.220, 4.356, 1944.700, 1970.200, 1893.400, 1923.100
2.230, 4.367, 1944.900, 1975.200, 1893.400, 1927.300
2.240, 4.376, 1943.700, 1978.500, 1893.200, 1931.400
2.250, 4.384, 1939.900, 1984.400, 1895.900, 1937.600
2.260, 4.398, 1944.200, 1987.600, 1894.600, 1939.800
2.270, 4.406, 1943.400, 1990.200, 1893.300, 1947.400
2.280, 4.417, 1943.700, 1997.800, 1894.000, 1950.800
2.290, 4.427, 1940.000, 2002.000, 1890.500, 1953.100
2.300, 4.440, 1944.900, 2008.400, 1894.100, 1959.000
2.310, 4.448, 1945.900, 2011.100, 1887.100, 1963.700
2.320, 4.458, 1943.500, 2017.000, 1890.700, 1964.600
2.330, 4.469, 1944.100, 2022.400, 1888.200, 1974.600
2.340, 4.477, 1945.000, 2028.500, 1890.800, 1972.000
2.350, 4.491, 1943.400, 2031.100, 1892.400, 1977.500
2.360, 4.499, 1944.100, 2038.400, 1891.300, 1982.000
2.370, 4.508, 1943.400, 2041.400, 1894.800, 1988.500
2.380, 4.518, 1943.900, 2045.000, 1891.900, 1990.900
2.390, 4.528, 1944.600, 2050.500, 1895.000, 1995.500
2.400, 4.541, 1944.200, 2055.300, 1887.900, 2003.800
2.410, 4.549, 1944.000, 2061.100, 1889.600, 2006.300
2.420, 4.561, 1942.700, 2065.400, 1891.400, 2010.500
2.430, 4.569, 1943.600, 2069.100, 1889.400, 2018.400
2.440, 4.578, 1943.500, 2073.800, 1893.000, 2012.800
2.450, 4.591, 1943.100, 2078.800, 1892.700, 2027.800
2.460, 4.599, 1942.800, 2083.500, 1884.200, 2029.500
2.470, 4.611, 1943.700, 2086.400, 1893.000, 2036.300
2.480, 4.618, 1943.900, 2092.300, 1890.700, 2040.600
2.490, 4.632, 1942.900, 2095.900, 1895.500, 2045.800
2.500, 4.641, 1943.800, 2103.500, 1893.000, 2036.100
2.510, 4.649, 1943.300, 2105.900, 1893.900, 2053.300
2.520, 4.661, 1944.600, 2109.700, 1890.400, 2056.100
2.530, 4.669, 1943.400, 2114.100, 1892.300, 2062.300
2.540, 4.682, 1943.600, 2119.600, 1893.000, 2062.200
2.550, 4.691, 1943.300, 2123.500, 1894.300, 2073.400
2.560, 4.699, 1943.400, 2130.000, 1892.900, 2077.300
2.570, 4.711, 1942.700, 2132.600, 1896.000, 2082.300
2.580, 4.719, 1942.600, 2137.200, 1894.700, 2081.600
2.590, 4.733, 1943.700, 2142.000, 1894.600, 2092.000
2.600, 4.742, 1943.100, 2147.000, 1892.000, 2094.600
2.610, 4.753, 1942.900, 2151.500, 1894.700, 2099.600
2.620, 4.762, 1942.400, 2157.400, 1889.800, 2100.200
2.630, 4.769, 1942.700, 2159.600, 1894.400, 2109.300
2.640, 4.783, 1943.200, 2163.100, 1891.400, 2111.800
2.650, 4.792, 1942.900, 2168.300, 1894.700, 2118.400
2.660, 4.802, 1943.000, 2173.600, 1892.100, 2121.500
2.670, 4.811, 1942.500, 2179.100, 1894.900, 2128.400
2.680, 4.824, 1942.500, 2183.800, 1895.300, 2133.100
2.690, 4.832, 1942.400, 2188.500, 1896.300, 2137.200
2.700, 4.841, 1942.500, 2193.700, 1896.000, 2140.800
2.710, 4.852, 1942.500, 2196.900, 1896.000, 2144.600
2.720, 4.860, 1942.700, 2201.200, 1895.000, 2149.400
2.730, 4.873, 1942.400, 2205.700, 1894.700, 2154.400
2.740, 4.881, 1942.100, 2210.700, 1895.800, 2159.900
2.750, 4.890, 1942.700, 2214.100, 1896.000, 2163.100
2.760, 4.901, 1942.300, 2219.500, 1894.200, 2167.900
2.770, 4.910, 1942.300, 2223.600, 1895.500, 2172.800
2.780, 4.923, 1942.300, 2227.200, 1895.000, 2176.000
2.790, 4.931, 1942.700, 2234.000, 1895.900, 2182.900
2.800, 4.943, 1942.200, 2237.600, 1896.300, 2184.500
2.810, 4.951, 1942.400, 2242.400, 1895.300, 2190.200
2.820, 4.960, 1942.000, 2246.000, 1895.600, 2195.100
2.830, 4.973, 1942.100, 2250.700, 1896.500, 2199.900
2.840, 4.981, 1942.500, 2256.900, 1894.500, 2203.800
2.850, 4.994, 1942.100, 2260.100, 1895.000, 2207.900
2.860, 5.001, 1942.200, 2264.400, 1895.600, 2211.800
2.870, 5.015, 1942.000, 2268.700, 1894.600, 2216.800
2.880, 5.024, 1942.400, 2274.000, 1894.500, 2223.000
2.890, 5.031, 1942.200, 2278.500, 1895.200, 2226.500
2.900, 5.043, 1942.000, 2283.600, 1895.600, 2229.900
2.910, 5.051, 1942.000, 2288.100, 1895.600, 2236.200
2.920, 5.065, 1942.000, 2291.900, 1896.000, 2239.700
2.930, 5.073, 1942.400, 2297.600, 1895.300, 2245.200
2.940, 5.084, 1942.000, 2301.400, 1894.800, 2249.400
2.950, 5.093, 1942.000, 2306.300, 1895.100, 2253.300
2.960, 5.101, 1942.000, 2311.000, 1895.900, 2258.100
2.970, 5.114, 1942.100, 2314.000, 1895.500, 2262.200
2.980, 5.123, 1942.000, 2318.400, 1895.500, 2266.300
2.990, 5.134, 1942.000, 2324.600, 1894.300, 2271.600
3.000, 5.142, 1942.200, 2328.100, 1895.300, 2276.600
3.010, 5.150, 1942.000, 2332.700, 1895.000, 2278.500
3.020, 5.164, 1941.900, 2335.900, 1896.500, 2284.800
3.030, 5.173, 1942.000, 2342.000, 1894.600, 2289.000
3.040, 5.183, 1940.000, 2345.000, 1896.400, 2294.000
3.050, 5.193, 1942.000, 2351.800, 1894.100, 2299.300
3.060, 5.206, 1940.700, 2349.200, 1894.600, 2303.500
3.070, 5.214, 1940.200, 2361.900, 1893.400, 2308.800
3.080, 5.223, 1940.400, 2365.000, 1895.300, 2313.000
3.090, 5.234, 1941.400, 2365.700, 1894.200, 2315.800
3.100, 5.242, 1942.100, 2372.300, 1895.800, 2320.800
3.110, 5.257, 1942.000, 2377.100, 1893.400, 2326.100
3.120, 5.264, 1942.100, 2383.800, 1894.200, 2329.700
3.130, 5.276, 1941.800, 2388.300, 1894.100, 2333.700
3.140, 5.284, 1942.000, 2392.900, 1895.300, 2340.200
3.150, 5.293, 1942.000, 2396.200, 1894.600, 2342.800
3.160, 5.306, 1942.000, 2400.800, 1895.200, 2347.500
3.170, 5.314, 1941.800, 2406.200, 1893.600, 2353.200
3.180, 5.326, 1941.900, 2410.400, 1893.600, 2356.400
3.190, 5.334, 1942.000, 2415.100, 1892.700, 2361.500
3.200, 5.342, 1942.000, 2417.600, 1894.400, 2366.000
3.210, 5.356, 1941.700, 2422.400, 1895.300, 2368.700
3.220, 5.364, 1941.500, 2429.000, 1894.400, 2375.200
3.230, 5.376, 1941.800, 2431.700, 1893.400, 2378.700
3.240, 5.383, 1941.800, 2438.900, 1894.400, 2381.900
3.250, 5.398, 1941.900, 2442.900, 1894.100, 2387.900
3.260, 5.407, 1941.900, 2448.200, 1895.000, 2394.000
3.270, 5.414, 1941.800, 2452.400, 1894.400, 2396.300
3.280, 5.426, 1941.900, 2454.900, 1893.400, 2402.500
3.290, 5.434, 1941.800, 2460.600, 1893.100, 2406.100
3.300, 5.447, 1942.000, 2465.600, 1894.100, 2409.900
3.310, 5.457, 1942.000, 2469.200, 1893.300, 2417.000
3.320, 5.467, 1941.900, 2471.700, 1893.700, 2420.600
3.330, 5.476, 1941.800, 2473.700, 1893.800, 2425.200
3.340, 5.484, 1941.500, 2477.200, 1895.900, 2430.200
3.350, 5.498, 1941.100, 2486.100, 1892.800, 2432.200
3.360, 5.506, 1941.900, 2494.800, 1892.800, 2437.700
3.370, 5.517, 1941.700, 2497.600, 1893.400, 2442.500
3.380, 5.527, 1941.700, 2502.700, 1894.000, 2447.000
3.390, 5.535, 1941.800, 2507.000, 1893.900, 2450.800
3.400, 5.548, 1941.600, 2510.100, 1893.800, 2456.300
3.410, 5.557, 1941.900, 2516.100, 1893.500, 2459.100
3.420, 5.567, 1941.900, 2519.800, 1893.000, 2464.900
3.430, 5.576, 1942.000, 2523.800, 1892.300, 2469.400
3.440, 5.590, 1941.900, 2529.200, 1893.000, 2472.000
3.450, 5.598, 1941.500, 2535.100, 1892.800, 2477.000
3.460, 5.606, 1941.600, 2538.900, 1893.400, 2482.800
3.470, 5.617, 1941.600, 2544.100, 1892.300, 2485.800
3.480, 5.626, 1942.000, 2547.400, 1893.600, 2491.300
3.490, 5.640, 1941.900, 2551.900, 1892.800, 2496.500
3.500, 5.647, 1941.800, 2557.800, 1892.800, 2502.500
3.510, 5.659, 1941.300, 2561.800, 1892.000, 2505.800
3.520, 5.667, 1941.500, 2566.800, 1893.100, 2510.500
3.530, 5.676, 1941.600, 2569.700, 1891.900, 2511.900
3.540, 5.689, 1941.700, 2573.000, 1893.100, 2517.600
3.550, 5.697, 1941.500, 2576.000, 1891.700, 2523.500
3.560, 5.709, 1941.100, 2579.400, 1893.400, 2528.200
3.570, 5.717, 1941.600, 2588.300, 1892.000, 2533.400
3.580, 5.730, 1941.600, 2592.600, 1891.900, 2536.400
3.590, 5.739, 1941.600, 2599.400, 1892.300, 2541.100
3.600, 5.747, 1941.400, 2602.900, 1891.700, 2545.700
3.610, 5.759, 1941.600, 2605.700, 1893.000, 2547.700
3.620, 5.767, 1941.400, 2610.900, 1892.400, 2553.900
3.630, 5.780, 1941.100, 2614.600, 1894.300, 2557.000
3.640, 5.790, 1941.700, 2621.100, 1892.300, 2563.100
3.650, 5.797, 1941.600, 2623.800, 1891.500, 2569.400
3.660, 5.809, 1941.400, 2628.000, 1892.800, 2573.200
3.670, 5.817, 1941.300, 2634.200, 1891.900, 2575.900
3.680, 5.830, 1941.300, 2637.700, 1892.000, 2581.600
3.690, 5.839, 1941.500, 2645.100, 1892.000, 2586.200
