SRC,MULT,CH1,CH2,VBAT,VPOW
9.050, 9.045, 9.036, 9.050, 8.005, 1824.900
9.060, 9.056, 9.046, 9.063, 8.005, 1826.000
9.070, 9.064, 9.060, 9.065, 8.005, 1826.300
9.080, 9.072, 9.069, 9.079, 8.005, 1833.200
9.090, 9.086, 9.084, 9.093, 8.005, 1833.900
9.100, 9.094, 9.091, 9.101, 8.005, 1834.900
9.110, 9.105, 9.101, 9.114, 8.005, 1837.100
9.120, 9.113, 9.112, 9.121, 8.005, 1838.000
9.130, 9.127, 9.133, 9.137, 8.005, 1839.100
9.140, 9.135, 9.133, 9.142, 8.005, 1845.400
9.150, 9.143, 9.140, 9.146, 8.005, 1846.900
9.160, 9.155, 9.156, 9.165, 8.005, 1847.400
9.170, 9.163, 9.158, 9.171, 8.005, 1849.100
9.180, 9.176, 9.169, 9.181, 8.005, 1850.900
9.190, 9.185, 9.174, 9.193, 8.005, 1855.600
9.200, 9.196, 9.187, 9.202, 8.005, 1857.800
9.210, 9.205, 9.191, 9.213, 8.005, 1858.900
9.220, 9.212, 9.207, 9.219, 8.005, 1859.500
9.230, 9.226, 9.217, 9.234, 8.005, 1862.300
9.240, 9.234, 9.227, 9.240, 8.005, 1863.000
9.250, 9.245, 9.239, 9.252, 8.005, 1864.900
9.260, 9.254, 9.246, 9.258, 8.005, 1865.700
9.270, 9.268, 9.266, 9.273, 8.005, 1871.500
9.280, 9.275, 9.270, 9.281, 8.005, 1872.500
9.290, 9.284, 9.287, 9.289, 8.005, 1874.100
9.300, 9.295, 9.297, 9.301, 8.005, 1875.800
9.310, 9.304, 9.309, 9.317, 8.005, 1877.000
9.320, 9.317, 9.314, 9.324, 8.005, 1878.100
9.330, 9.324, 9.325, 9.333, 8.005, 1884.300
9.340, 9.333, 9.330, 9.338, 8.005, 1885.000
9.350, 9.344, 9.339, 9.351, 8.005, 1885.900
9.360, 9.353, 9.344, 9.358, 8.005, 1887.800
9.370, 9.366, 9.366, 9.370, 8.005, 1889.800
9.380, 9.374, 9.366, 9.381, 8.005, 1891.000
9.390, 9.386, 9.387, 9.392, 8.005, 1896.200
9.400, 9.393, 9.389, 9.401, 8.005, 1897.900
9.410, 9.402, 9.398, 9.404, 8.005, 1898.100
9.420, 9.416, 9.412, 9.426, 8.005, 1900.800
9.430, 9.423, 9.419, 9.434, 8.005, 1901.400
9.440, 9.435, 9.427, 9.440, 8.005, 1903.900
9.450, 9.443, 9.434, 9.449, 8.005, 1907.100
9.460, 9.457, 9.445, 9.467, 8.005, 1910.400
9.470, 9.465, 9.460, 9.475, 8.005, 1911.700
