VBAT,MULT
2341.6,11.563
2342.7,11.57
2345.6,11.579
2345.7,11.579
2350.3,11.6
2352.3,11.612
2353.0,11.62
2354.6,11.629
2360.0,11.642
2360.8,11.65
2363.5,11.662
2364.8,11.669
2365.8,11.683
2367.8,11.693
2368.6,11.7
2372.7,11.712
2375.4,11.72
2377.4,11.733
2378.5,11.742
2379.3,11.752
2383.5,11.762
2385.6,11.769
2388.6,11.782
2389.8,11.791
2391.3,11.802
2392.4,11.811
2394.7,11.818
2397.3,11.833
2400.0,11.841
2402.4,11.852
2403.3,11.861
2405.2,11.874
2406.3,11.882
2410.6,11.891
2412.8,11.902
2414.9,11.91
2416.2,11.924
2417.9,11.932
2419.6,11.943
2420.4,11.951
2422.9,11.96
2427.1,11.973
2428.8,11.98
2430.0,11.992
2430.9,12.0
2435.0,12.013
2437.8,12.023
2439.8,12.03
2440.6,12.03
2442.3,12.05
2445.1,12.072
2447.3,12.079
2451.2,12.092
2453.2,12.1
2455.0,12.113
2456.3,12.122
2457.2,12.133
2462.1,12.141
2464.2,12.149
2465.2,12.163
2467.7,12.171
2468.8,12.182
2469.7,12.191
2472.2,12.204
2472.8,12.212
2477.5,12.228
2478.5,12.235
2480.0,12.244
2481.8,12.255
2486.1,12.264
2489.2,12.271
2491.6,12.284
2493.7,12.304
2496.4,12.313
2499.2,12.326
2501.7,12.334
2503.8,12.343
2505.9,12.353
2506.4,12.363
2508.5,12.376
2511.3,12.384
2514.7,12.396
2516.3,12.404
2517.9,12.412
2519.7,12.426
2521.3,12.434
2522.2,12.445
2524.9,12.453
2527.7,12.462
2531.3,12.479
2533.0,12.494
2534.2,12.502
2538.9,12.515
2540.9,12.524
2543.3,12.532
2544.4,12.543
2545.9,12.551
2547.4,12.565
2550.2,12.573
2552.6,12.584
2554.9,12.593
2555.9,12.601
2558.4,12.614
2559.2,12.624
2561.0,12.634
2564.1,12.643
2567.7,12.651
2569.2,12.664
2570.9,12.673
2572.6,12.684
2573.7,12.693
2577.3,12.706
2579.4,12.714
2581.9,12.723
2583.2,12.733
2584.0,12.742
2586.0,12.756
2589.5,12.764
2593.1,12.776
2593.4,12.776
2596.4,12.792
2598.2,12.806
2599.5,12.813
2601.9,12.825
2603.1,12.833
2606.3,12.846
2608.8,12.855
2609.2,12.863
2610.8,12.875
2611.6,12.882
2616.9,12.896
2618.6,12.905
2620.7,12.913
2622.5,12.925
2623.5,12.932
2624.4,12.946
2627.4,12.955
2631.5,12.965
2632.5,12.974
2634.4,12.982
2635.8,12.995
2637.1,13.004
2641.2,13.015
2643.8,13.023
2645.6,13.036
2649.0,13.0485
2651.1,13.064
2652.7,13.073
2655.1,13.086
2656.9,13.094
2658.5,13.102
2660.6,13.113
2661.6,13.122
2663.9,13.135
2668.5,13.143
2670.3,13.156
2672.0,13.163
2673.4,13.172
2675.4,13.185
2676.6,13.193
2678.2,13.205
2679.4,13.213
2680.6,13.226
2684.2,13.235
2686.7,13.243
2688.2,13.255
2691.1,13.262
2696.2,13.276
2697.6,13.283
2699.9,13.291
2701.9,13.303
2702.8,13.311
2705.1,13.324
2705.7,13.333
2708.4,13.343
2710.8,13.353
2711.4,13.36
2713.3,13.373
2714.6,13.382
2719.0,13.393
2721.0,13.402
2723.9,13.416
2725.8,13.424
2727.0,13.432
2727.2,13.443
2729.2,13.452
2732.7,13.465
2733.9,13.473
2736.2,13.485
2738.1,13.493
2738.9,13.501
2743.1,13.515
2745.7,13.522
2747.8,13.534
2751.2,13.542
2751.9,13.55
2752.0,13.55
2753.9,13.571
2757.4,13.583
2759.0,13.591
2762.1,13.604
2762.9,13.613
2764.0,13.621
2766.1,13.633
2769.0,13.64
2771.7,13.654
2774.6,13.662
2776.4,13.673
2778.2,13.683
2780.0,13.691
2781.3,13.704
2782.4,13.713
2785.5,13.723
2788.0,13.732
2789.5,13.74
2791.0,13.753
2793.1,13.762
2797.7,13.773
2799.3,13.782
2802.4,13.795
2804.2,13.813
2806.0,13.823
2808.6,13.832
2810.0,13.845
2813.6,13.853
2814.9,13.865
2815.9,13.872
2817.5,13.882
2822.5,13.895
2824.0,13.902
2827.2,13.915
2828.8,13.922
2829.4,13.931
2829.9,13.945
2831.2,13.953
2834.1,13.964
2837.4,13.972
2841.0,13.986
2841.7,13.994
2842.6,14.002
