slA_ch2,v_meas_ch2
1966.4,4.347
1970.2,4.356
1975.2,4.367
1978.5,4.376
1984.4,4.384
1987.6,4.398
1990.2,4.406
1997.8,4.417
2002.0,4.427
2008.4,4.44
2011.1,4.448
2017.0,4.458
2022.4,4.469
2028.5,4.477
2031.1,4.491
2038.4,4.499
2041.4,4.508
2045.0,4.518
2050.5,4.528
2055.3,4.541
2061.1,4.549
2065.4,4.561
2069.1,4.569
2073.8,4.578
2078.8,4.591
2083.5,4.599
2086.4,4.611
2092.3,4.618
2095.9,4.632
2103.5,4.641
2105.9,4.649
2109.7,4.661
2114.1,4.669
2119.6,4.682
2123.5,4.691
2130.0,4.699
2132.6,4.711
2137.2,4.719
2142.0,4.733
2147.0,4.742
2151.5,4.753
2157.4,4.762
2159.6,4.769
2163.1,4.783
2168.3,4.792
2173.6,4.802
2179.1,4.811
2183.8,4.824
2188.5,4.832
2193.7,4.841
2196.9,4.852
2201.2,4.86
2205.7,4.873
2210.7,4.881
2214.1,4.89
2219.5,4.901
2223.6,4.91
2227.2,4.923
2234.0,4.931
2237.6,4.943
2242.4,4.951
2246.0,4.96
2250.7,4.973
2256.9,4.981
2260.1,4.994
2264.4,5.001
2268.7,5.015
2274.0,5.024
2278.5,5.031
2283.6,5.043
2288.1,5.051
2291.9,5.065
2297.6,5.073
2301.4,5.084
2306.3,5.093
2311.0,5.101
2314.0,5.114
2318.4,5.123
2324.6,5.134
2328.1,5.142
2332.7,5.15
2335.9,5.164
2342.0,5.173
2345.0,5.183
2349.2,5.206
2361.9,5.214
2365.0,5.223
2365.7,5.234
2372.3,5.242
2377.1,5.257
2383.8,5.264
2388.3,5.276
2392.9,5.284
2396.2,5.293
2400.8,5.306
2406.2,5.314
2410.4,5.326
2415.1,5.334
2417.6,5.342
2422.4,5.356
2429.0,5.364
2431.7,5.376
2438.9,5.383
2442.9,5.398
2448.2,5.407
2452.4,5.414
2454.9,5.426
2460.6,5.434
2465.6,5.447
2469.2,5.457
2471.7,5.467
2473.7,5.476
2477.2,5.484
2486.1,5.498
2494.8,5.506
2497.6,5.517
2502.7,5.527
2507.0,5.535
2510.1,5.548
2516.1,5.557
2519.8,5.567
2523.8,5.576
2529.2,5.59
2535.1,5.598
2538.9,5.606
2544.1,5.617
2547.4,5.626
2551.9,5.64
2557.8,5.647
2561.8,5.659
2566.8,5.667
2569.7,5.676
2573.0,5.689
2576.0,5.697
2579.4,5.709
2588.3,5.717
2592.6,5.73
2599.4,5.739
2602.9,5.747
2605.7,5.759
2610.9,5.767
2614.6,5.78
2621.1,5.79
2623.8,5.797
2628.0,5.809
2634.2,5.817
2637.7,5.83
2645.1,5.839
2651.6,5.848
2651.9,5.864
2658.7,5.871
2659.9,5.884
2666.0,5.891
2670.4,5.9
2674.7,5.909
2677.0,5.92
2681.4,5.929
2686.9,5.94
2694.0,5.951
2699.2,5.961
2703.5,5.969
2706.5,5.982
2712.1,5.988
2715.6,6.004
2722.5,6.01
2725.3,6.02
2728.8,6.029
2732.3,6.04
2738.9,6.052
2744.6,6.061
2748.2,6.072
2753.9,6.081
2757.6,6.088
2760.7,6.103
2766.0,6.109
2769.5,6.123
2775.5,6.129
2777.8,6.144
2781.6,6.151
2784.2,6.161
2790.4,6.171
2797.5,6.181
2803.2,6.192
2807.3,6.203
2810.5,6.209
2814.1,6.222
2820.7,6.228
2824.1,6.244
2829.8,6.251
2831.4,6.264
2839.0,6.271
2842.7,6.281
2847.7,6.292
2853.4,6.303
2857.7,6.312
2861.4,6.322
2866.5,6.334
2871.0,6.344
2875.9,6.351
2878.5,6.363
2881.5,6.37
2883.9,6.385
2888.7,6.391
2891.3,6.401
2902.7,6.41
2907.3,6.421
2910.4,6.432
2915.6,6.442
2920.3,6.452
2925.0,6.462
2929.0,6.469
2932.9,6.484
2937.7,6.49
2939.7,6.504
2947.9,6.51
2952.8,6.525
2957.9,6.533
2961.3,6.552
2967.2,6.574
2975.5,6.603
2982.7,6.6005
2986.2,6.624
2997.3,6.631
3003.8,6.643
3009.6,6.66
3016.8,6.672
3022.6,6.682
3027.9,6.691
3032.9,6.702
3037.4,6.714
3041.2,6.723
3046.4,6.73
3050.6,6.743
3057.2,6.749
3062.3,6.765
3066.6,6.772
3069.3,6.785
3074.6,6.791
3078.2,6.802
3083.0,6.813
3086.6,6.823
3089.5,6.834
3092.8,6.843
3096.3,6.85
3101.3,6.865
3112.9,6.871
3115.9,6.885
3120.4,6.891
3122.6,6.907
3130.7,6.914
3133.3,6.923
3138.9,6.934
3141.4,6.943
3146.1,6.955
3152.2,6.965
3157.8,6.975
3162.9,6.985
3168.2,6.991
3169.6,7.006
3175.9,7.013
3177.6,7.026
3184.7,7.034
3188.1,7.043
3191.6,7.055
3193.6,7.065
3197.8,7.074
3201.4,7.085
3207.4,7.097
3216.6,7.106
3221.1,7.113
3223.8,7.126
3229.1,7.133
3232.3,7.148
3239.3,7.154
3243.2,7.167
3246.9,7.173
3250.2,7.184
3255.8,7.196
3262.4,7.205
3268.0,7.215
3269.6,7.225
3274.6,7.237
3278.4,7.247
3283.4,7.253
3287.2,7.267
3292.1,7.273
3294.7,7.288
3295.7,7.296
3297.6,7.305
3298.6,7.315
3300.0,7.336333333333333
