CH1,MULT
12.23,12.004
12.249,12.017
12.251,12.026
12.261,12.034
12.274,12.045
12.28,12.053
12.297,12.067
12.307,12.075
12.313,12.083
12.326,12.096
12.339,12.103
12.355,12.116
12.363,12.125
12.375,12.136
12.384,12.145
12.396,12.152
12.408,12.166
12.42,12.175
12.428,12.186
12.438,12.195
12.456,12.208
12.457,12.215
12.468,12.231
12.473,12.239
12.478,12.247
12.489,12.258
12.497,12.267
12.501,12.275
12.514,12.288
12.532,12.297
12.536,12.308
12.541,12.316
12.556,12.33
12.563,12.337
12.57,12.346
12.577,12.357
12.587,12.366
12.607,12.379
12.612,12.387
12.624,12.399
12.628,12.407
12.638,12.415
12.654,12.429
12.663,12.437
12.676,12.449
12.685,12.456
12.694,12.465
12.711,12.478
12.718,12.486
12.73,12.498
12.739,12.505
12.755,12.519
12.766,12.527
12.768,12.535
12.779,12.547
12.788,12.555
12.797,12.568
12.801,12.577
12.811,12.588
12.82,12.596
12.829,12.604
12.845,12.617
12.849,12.627
12.861,12.638
12.87,12.646
12.879,12.654
12.896,12.668
12.91,12.676
12.921,12.687
12.923,12.696
12.94,12.709
12.952,12.717
12.957,12.726
12.964,12.737
12.97,12.745
12.987,12.76
12.99,12.767
13.005,12.779
13.016,12.787
13.023,12.796
13.041,12.809
13.05,12.816
13.062,12.829
13.069,12.836
13.085,12.85
13.095,12.859
13.101,12.866
13.11,12.878
13.114,12.886
13.125,12.9
13.134,12.908
13.142,12.916
13.155,12.928
13.161,12.936
13.178,12.949
13.189,12.958
13.199,12.969
13.209,12.977
13.217,12.985
13.235,12.999
13.246,13.007
13.255,13.018
13.261,13.026
13.27,13.04
13.277,13.047
13.284,13.056
13.293,13.067
13.3,13.076
13.311,13.089
13.319,13.097
13.329,13.106
13.349,13.116
13.357,13.125
13.371,13.138
13.381,13.146
13.395,13.159
13.399,13.167
13.411,13.175
13.422,13.189
13.428,13.196
13.437,13.208
13.442,13.216
13.452,13.229
13.462,13.238
13.469,13.246
13.475,13.258
13.49,13.266
13.505,13.279
13.507,13.287
13.515,13.294
13.526,13.306
13.532,13.314
13.545,13.327
13.559,13.336
13.565,13.346
13.577,13.356
13.587,13.363
13.605,13.377
13.619,13.385
13.631,13.396
13.641,13.405
13.661,13.419
13.669,13.427
13.683,13.435
13.696,13.446
13.709,13.455
13.727,13.468
13.734,13.476
13.751,13.488
13.752,13.496
13.755,13.504
13.771,13.518
13.777,13.525
13.781,13.537
13.798,13.545
13.8,13.553
13.819,13.567
13.826,13.574
13.834,13.586
13.844,13.594
13.853,13.607
13.866,13.616
13.87,13.624
13.882,13.636
13.895,13.643
13.909,13.657
13.915,13.665
13.928,13.676
13.932,13.686
13.949,13.694
13.964,13.707
13.97,13.716
13.986,13.727
13.992,13.735
14.002,13.743
14.014,13.757
14.027,13.765
14.037,13.776
14.049,13.785
14.06,13.798
14.063,13.806
14.075,13.816
14.079,13.826
14.09,13.835
14.099,13.848
14.106,13.856
14.117,13.868
14.127,13.876
14.14,13.885
14.156,13.898
14.164,13.906
14.177,13.918
14.181,13.925
14.194,13.934
14.21,13.948
14.218,13.956
14.222,13.967
14.234,13.975
14.247,13.989
14.252,13.997
14.26,14.005
14.276,14.017
14.279,14.025
14.294,14.038
14.305,14.047
14.316,14.058
14.324,14.066
14.334,14.074
14.35,14.087
14.356,14.096
14.369,14.107
14.378,14.116
14.39,14.137
14.401,14.146
14.411,14.156
14.416,14.165
14.431,14.179
14.433,14.186
14.448,14.195
14.459,14.206
14.47,14.215
14.485,14.228
14.494,14.236
14.51,14.248
14.517,14.256
14.528,14.264
14.54,14.278
14.545,14.286
14.556,14.298
14.561,14.305
14.571,14.319
14.577,14.327
14.583,14.335
14.6,14.349
14.609,14.357
14.625,14.37
14.628,14.379
14.638,14.387
14.658,14.398
14.663,14.406
14.681,14.42
14.692,14.428
14.699,14.439
14.704,14.448
14.712,14.456
14.716,14.469
14.727,14.479
14.737,14.489
14.747,14.498
14.76,14.511
14.769,14.519
14.776,14.528
14.787,14.538
14.794,14.548
14.81,14.561
14.812,14.568
14.822,14.577
14.831,14.588
14.839,14.597
14.86,14.61
14.868,14.618
14.879,14.629
14.889,14.637
14.896,14.646
14.914,14.659
14.923,14.667
14.937,14.679
14.942,14.687
14.957,14.7
14.968,14.709
14.974,14.717
14.99,14.728
14.999,14.736
15.014,14.75
15.02,14.759
15.028,14.766
15.033,14.778
15.041,14.786
15.05,14.799
15.06,14.808
15.07,14.819
15.079,14.828
15.085,14.835
15.101,14.849
15.106,14.858
15.119,14.868
15.127,14.878
15.139,14.891
15.143,14.899
15.154,14.908
15.164,14.919
15.178,14.927
15.191,14.941
15.202,14.949
15.207,14.96
15.217,14.968
15.231,14.977
15.242,14.99
15.251,14.998
15.264,15.011
15.273,15.018
15.281,15.027
15.297,15.04
15.304,15.048
15.32,15.06
15.33,15.067
15.343,15.081
15.35,15.09
15.355,15.098
15.364,15.11
15.367,15.117
15.378,15.13
15.387,15.139
15.401,15.15
15.403,15.158
15.42,15.166
15.431,15.18
15.444,15.188
15.459,15.199
15.464,15.208
15.471,15.216
15.485,15.229
15.495,15.238
15.504,15.249
15.515,15.257
15.526,15.272
15.534,15.279
15.543,15.288
15.552,15.299
15.562,15.308
15.575,15.321
15.582,15.328
15.594,15.341
15.607,15.348
15.613,15.357
15.63,15.371
15.639,15.378
15.65,15.39
15.657,15.398
15.663,15.406
15.671,15.419
15.68,15.427
15.685,15.439
15.697,15.446
15.706,15.46
15.72,15.469
15.726,15.476
15.74,15.488
15.746,15.496
15.76,15.509
15.775,15.518
15.787,15.529
15.797,15.538
15.807,15.546
15.816,15.559
15.824,15.568
15.836,15.579
15.838,15.587
15.851,15.601
15.859,15.609
15.861,15.617
15.878,15.628
15.888,15.637
15.906,15.65
15.909,15.658
15.924,15.667
15.936,15.677
15.942,15.686
15.965,15.7
15.972,15.707
15.982,15.719
15.986,15.726
15.993,15.736
16.004,15.749
16.005,15.757
16.014,15.769
16.021,15.776
16.035,15.79
16.047,15.799
16.048,15.807
16.064,15.818
16.07,15.826
16.085,15.84
16.092,15.848
16.096,15.856
16.108,15.868
16.119,15.876
16.125,15.889
16.146,15.898
16.152,15.909
16.158,15.918
16.174,15.925
16.193,15.94
16.196,15.948
16.215,15.959
16.218,15.968
16.233,15.981
16.238,15.989
