src,mult,ch1,ch2,vup,vdown
9.090, 9.082, 7.997, 7.997, 9.096, 8.006
9.100, 9.082, 7.997, 7.997, 9.097, 8.006
9.110, 9.101, 7.997, 7.997, 9.123, 8.006
9.120, 9.109, 7.997, 7.997, 9.127, 8.006
9.130, 9.122, 7.997, 7.997, 9.136, 8.006
9.140, 9.131, 7.997, 7.997, 9.153, 8.006
9.150, 9.139, 7.997, 7.997, 9.160, 8.006
9.160, 9.151, 7.997, 7.997, 9.166, 8.006
9.170, 9.158, 7.997, 7.997, 9.179, 8.006
9.180, 9.172, 7.997, 7.997, 9.195, 8.006
9.190, 9.181, 7.997, 7.997, 9.195, 8.006
9.200, 9.192, 7.997, 7.997, 9.210, 8.006
9.210, 9.200, 7.997, 7.997, 9.216, 8.006
9.220, 9.208, 7.997, 7.997, 9.224, 8.006
9.230, 9.222, 7.997, 7.997, 9.238, 8.006
9.240, 9.230, 7.997, 7.997, 9.248, 8.006
9.250, 9.241, 7.997, 7.997, 9.256, 8.006
9.260, 9.250, 7.997, 7.997, 9.271, 8.006
9.270, 9.263, 7.997, 7.997, 9.275, 8.006
9.280, 9.271, 7.997, 7.997, 9.288, 8.006
9.290, 9.280, 7.997, 7.997, 9.297, 8.006
9.300, 9.291, 7.997, 7.997, 9.305, 8.006
9.310, 9.299, 7.997, 7.997, 9.314, 8.006
9.320, 9.313, 7.997, 7.997, 9.328, 8.006
9.330, 9.320, 7.997, 7.997, 9.344, 8.006
9.340, 9.329, 7.997, 7.997, 9.347, 8.006
9.350, 9.340, 7.997, 7.997, 9.356, 8.006
9.360, 9.348, 7.997, 7.997, 9.366, 8.006
9.370, 9.362, 7.997, 7.997, 9.378, 8.006
9.380, 9.369, 7.997, 7.997, 9.386, 8.006
9.390, 9.382, 7.997, 7.997, 9.406, 8.006
9.400, 9.389, 7.997, 7.997, 9.408, 8.006
9.410, 9.398, 7.997, 7.997, 9.419, 8.006
9.420, 9.411, 7.997, 7.997, 9.427, 8.006
9.430, 9.419, 7.997, 7.997, 9.437, 8.006
9.440, 9.431, 7.997, 7.997, 9.446, 8.006
9.450, 9.438, 7.997, 7.997, 9.454, 8.006
9.460, 9.453, 7.997, 7.997, 9.471, 8.006
9.470, 9.461, 7.997, 7.997, 9.480, 8.006
9.480, 9.469, 7.997, 7.997, 9.488, 8.006
9.490, 9.481, 7.997, 7.997, 9.500, 8.006
9.500, 9.489, 7.997, 7.997, 9.508, 8.006
9.510, 9.502, 7.997, 7.997, 9.522, 8.006
9.520, 9.511, 7.997, 7.997, 9.535, 8.006
9.530, 9.519, 7.997, 7.997, 9.539, 8.006
9.540, 9.530, 7.997, 7.997, 9.553, 8.006
9.550, 9.538, 7.997, 7.997, 9.559, 8.006
9.560, 9.551, 7.997, 7.997, 9.573, 8.006
9.570, 9.560, 7.997, 7.997, 9.579, 8.006
9.580, 9.571, 7.997, 7.997, 9.590, 8.006
9.590, 9.581, 7.997, 7.997, 9.602, 8.006
9.600, 9.588, 7.997, 7.997, 9.608, 8.006
9.610, 9.602, 7.997, 7.997, 9.623, 8.006
9.620, 9.611, 7.997, 7.997, 9.635, 8.006
9.630, 9.621, 7.997, 7.997, 9.636, 8.006
9.640, 9.630, 7.997, 7.997, 9.652, 8.006
9.650, 9.644, 7.997, 7.997, 9.660, 8.006
9.660, 9.651, 7.997, 7.997, 9.668, 8.006
9.670, 9.660, 7.997, 7.997, 9.680, 8.006
9.680, 9.671, 7.997, 7.997, 9.692, 8.006
9.690, 9.680, 7.997, 7.997, 9.702, 8.006
9.700, 9.693, 7.997, 7.997, 9.716, 8.006
9.710, 9.701, 7.997, 7.997, 9.723, 8.006
9.720, 9.710, 7.997, 7.997, 9.727, 8.006
9.730, 9.721, 7.997, 7.997, 9.740, 8.006
9.740, 9.729, 7.997, 7.997, 9.751, 8.006
9.750, 9.743, 7.997, 7.997, 9.761, 8.006
9.760, 9.751, 7.997, 7.997, 9.771, 8.006
9.770, 9.762, 7.997, 7.997, 9.783, 8.006
9.780, 9.770, 7.997, 7.997, 9.791, 8.006
9.790, 9.779, 7.997, 7.997, 9.801, 8.006
9.800, 9.792, 7.997, 7.997, 9.811, 8.006
9.810, 9.800, 7.997, 7.997, 9.821, 8.006
9.820, 9.812, 7.997, 7.997, 9.831, 8.006
9.830, 9.820, 7.997, 7.997, 9.844, 8.006
9.840, 9.833, 7.997, 7.997, 9.852, 8.006
9.850, 9.842, 7.997, 7.997, 9.862, 8.006
9.860, 9.849, 7.997, 7.997, 9.867, 8.006
9.870, 9.861, 7.997, 7.997, 9.879, 8.006
9.880, 9.869, 7.997, 7.997, 9.889, 8.006
9.890, 9.882, 7.997, 7.997, 9.908, 8.006
9.900, 9.891, 7.997, 7.997, 9.913, 8.006
9.910, 9.902, 7.997, 7.997, 9.921, 8.006
9.920, 9.911, 7.997, 7.997, 9.935, 8.006
9.930, 9.918, 7.997, 7.997, 9.939, 8.006
9.940, 9.932, 7.997, 7.997, 9.954, 8.006
9.950, 9.940, 7.997, 7.997, 9.959, 8.006
9.960, 9.951, 7.997, 7.997, 9.972, 8.006
9.970, 9.960, 7.997, 7.997, 9.981, 8.006
9.980, 9.968, 7.997, 7.997, 9.991, 8.006
9.990, 9.982, 7.997, 7.997, 10.000, 8.006
10.000, 9.990, 7.997, 7.997, 10.011, 8.006
10.010, 10.001, 7.997, 7.997, 10.018, 8.006
10.020, 10.010, 7.997, 7.997, 10.032, 8.006
10.030, 10.023, 7.997, 7.997, 10.042, 8.006
10.040, 10.031, 7.997, 7.997, 10.055, 8.006
10.050, 10.040, 7.997, 7.997, 10.063, 8.006
