VPOW,MULT
2338.2,11.529
2339.5,11.542
2339.9,11.55
2345.7,11.563
2346.3,11.57
2349.0,11.579
2349.2,11.579
2351.9,11.6
2353.5,11.612
2356.2,11.62
2359.2,11.629
2361.7,11.642
2363.3,11.65
2364.7,11.662
2365.5,11.669
2368.0,11.683
2368.7,11.693
2371.4,11.7
2375.2,11.712
2377.1,11.72
2378.6,11.733
2380.8,11.742
2384.6,11.752
2386.6,11.762
2388.4,11.769
2389.8,11.782
2390.6,11.791
2392.2,11.802
2396.5,11.811
2398.1,11.818
2401.4,11.833
2402.7,11.841
2403.1,11.852
2404.6,11.861
2408.5,11.874
2411.4,11.882
2413.6,11.891
2414.3,11.902
2418.7,11.91
2421.3,11.924
2421.8,11.932
2423.8,11.943
2424.2,11.951
2426.6,11.96
2428.2,11.973
2429.3,11.98
2431.8,11.992
2434.2,12.0
2438.5,12.013
2440.2,12.023
2440.4,12.03
2440.9,12.03
2442.7,12.05
2447.4,12.063
2449.7,12.072
2452.5,12.079
2453.3,12.092
2454.8,12.1
2456.2,12.113
2458.8,12.122
2462.6,12.133
2464.3,12.141
2465.3,12.149
2467.8,12.163
2468.0,12.171
2470.0,12.182
2472.1,12.191
2473.3,12.204
2474.2,12.212
2480.1,12.228
2481.6,12.235
2484.1,12.244
2488.2,12.255
2490.0,12.264
2490.9,12.271
2493.3,12.284
2494.1,12.293
2498.1,12.304
2500.9,12.313
2502.7,12.326
2505.3,12.334
2506.2,12.343
2507.0,12.353
2508.9,12.363
2513.7,12.376
2514.8,12.384
2518.1,12.396
2521.1,12.412
2524.9,12.426
2525.7,12.434
2527.0,12.445
2529.1,12.453
2531.4,12.462
2532.1,12.475
2533.1,12.483
2536.3,12.494
2539.4,12.502
2541.7,12.515
2543.5,12.524
2543.9,12.532
2545.2,12.543
2547.1,12.551
2552.5,12.565
2553.3,12.573
2555.6,12.584
2556.7,12.593
2558.0,12.601
2560.1,12.614
2563.0,12.624
2565.9,12.634
2567.6,12.643
2569.1,12.651
2570.4,12.664
2571.3,12.673
2572.7,12.684
2574.5,12.693
2578.7,12.706
2579.7,12.714
2583.0,12.723
2584.3,12.733
2586.3,12.742
2590.9,12.756
2592.5,12.764
2594.3,12.776
2595.0,12.776
2597.0,12.792
2599.0,12.806
2603.1,12.813
2605.1,12.825
2606.4,12.833
2608.4,12.846
2610.0,12.855
2611.5,12.863
2614.5,12.875
2617.7,12.882
2621.9,12.896
2624.2,12.905
2625.8,12.913
2627.9,12.925
2629.2,12.932
2630.0,12.946
2631.8,12.955
2633.9,12.965
2634.4,12.974
2635.2,12.982
2637.7,12.995
2641.9,13.004
2643.9,13.015
2646.0,13.023
2647.7,13.036
2648.0,13.044
2649.3,13.053
2654.0,13.064
2656.6,13.073
2659.2,13.086
2659.6,13.094
2660.9,13.102
2663.6,13.113
2664.6,13.122
2669.0,13.135
2671.2,13.143
2672.3,13.156
2673.9,13.163
2674.3,13.172
2676.2,13.185
2677.3,13.193
2679.7,13.205
2680.2,13.213
2682.3,13.226
2685.7,13.243
2691.3,13.255
2695.3,13.262
2698.3,13.276
2698.9,13.291
2701.6,13.303
2706.1,13.311
2707.6,13.324
2709.5,13.333
2711.0,13.343
2713.0,13.353
2713.7,13.36
2716.5,13.373
2719.5,13.382
2724.0,13.393
2728.0,13.402
2729.3,13.416
2731.3,13.432
2733.2,13.443
2733.5,13.452
2737.0,13.465
2737.7,13.473
2738.7,13.485
2741.5,13.493
2743.0,13.501
2746.4,13.515
2748.4,13.522
2749.9,13.534
2751.5,13.542
2752.5,13.55
2753.1,13.55
2758.6,13.571
2760.1,13.583
2762.6,13.591
2764.4,13.604
2764.5,13.613
2767.6,13.621
2771.3,13.633
2772.6,13.64
2775.5,13.654
2776.5,13.662
2777.8,13.673
2778.0,13.683
2779.8,13.691
2782.0,13.704
2784.3,13.713
2787.9,13.723
2789.7,13.732
2791.5,13.74
2794.7,13.753
2797.6,13.762
2799.4,13.773
2801.5,13.782
2802.7,13.795
2803.3,13.803
2808.4,13.813
2810.6,13.823
2811.6,13.832
2814.2,13.845
2815.6,13.853
2817.8,13.865
2819.1,13.872
2822.8,13.882
2829.5,13.895
2829.6,13.902
2831.2,13.915
2833.8,13.922
2834.9,13.931
2835.8,13.945
2836.9,13.953
2839.5,13.968
2842.0,13.986
2843.9,13.994
2845.3,14.002
2849.3,14.014
2850.5,14.022
2852.7,14.035
2854.0,14.044
2855.8,14.055
2858.8,14.063
2861.8,14.071
2862.6,14.084
2865.1,14.093
2867.4,14.104
2868.6,14.113
2871.6,14.126
2873.8,14.133
2875.6,14.143
2877.9,14.153
2878.8,14.162
2880.0,14.175
2880.7,14.183
2881.3,14.192
2883.6,14.203
2885.4,14.212
2886.6,14.225
2887.0,14.233
2888.7,14.245
2891.4,14.253
2896.8,14.261
2900.2,14.261
2902.6,14.283
2904.7,14.294
2906.5,14.302
2911.4,14.316
2914.4,14.324
2914.7,14.332
2917.2,14.346
2918.6,14.354
2920.5,14.367
2923.7,14.376
2927.3,14.384
2931.3,14.396
2934.9,14.403
2935.0,14.417
2937.0,14.425
2937.6,14.436
2938.9,14.445
2939.7,14.453
2942.0,14.466
2943.5,14.476
2945.6,14.486
2947.1,14.495
2951.4,14.508
2952.7,14.516
2955.2,14.525
2956.7,14.536
2958.3,14.545
2959.6,14.558
2964.1,14.566
2965.2,14.574
2966.3,14.585
2969.3,14.594
2970.6,14.607
2971.9,14.615
2974.8,14.626
2977.1,14.634
2978.6,14.643
2981.4,14.656
2983.7,14.664
2984.4,14.676
2984.8,14.684
2986.0,14.697
2987.2,14.706
2989.0,14.714
2991.3,14.733
2996.9,14.747
3001.2,14.756
3003.7,14.763
3004.9,14.775
3007.8,14.783
3008.2,14.796
3010.1,14.805
3015.2,14.816
3017.0,14.825
3017.2,14.832
3019.9,14.846
3021.8,14.855
3023.8,14.865
3026.6,14.875
3032.6,14.888
3036.5,14.896
3036.7,14.905
3039.0,14.916
3040.5,14.938
3042.0,14.946
3042.7,14.958
3042.8,14.958
3046.5,14.974
3048.0,14.987
3052.8,14.995
3054.2,15.008
3055.2,15.016
3057.6,15.024
3059.7,15.038
3060.5,15.045
3062.8,15.057
3065.6,15.065
3068.2,15.078
3068.9,15.087
3071.6,15.095
3073.6,15.107
3074.3,15.114
3077.5,15.128
3080.2,15.136
3083.0,15.147
3083.8,15.156
3084.2,15.156
3086.2,15.177
3087.2,15.185
3088.6,15.196
3089.8,15.205
3091.1,15.213
3092.2,15.235
3094.0,15.246
3095.1,15.255
3102.9,15.269
3104.7,15.276
3107.4,15.285
3108.7,15.296
3112.0,15.305
3118.2,15.318
3119.8,15.326
3120.9,15.338
3123.1,15.346
3125.2,15.354
3127.0,15.368
3131.7,15.375
3136.2,15.387
3138.6,15.403
3143.0,15.416
3143.2,15.424
3144.2,15.436
3145.0,15.444
3146.0,15.457
3147.1,15.466
3148.3,15.473
3150.5,15.485
3152.7,15.493
3156.8,15.506
3158.3,15.515
3159.3,15.526
3162.3,15.535
3163.1,15.543
3164.4,15.556
3168.9,15.565
3171.8,15.58
3175.0,15.598
3175.1,15.598
3177.6,15.614
3178.8,15.625
3180.5,15.625
3185.2,15.647
3188.2,15.655
3189.9,15.674
3191.1,15.683
3192.0,15.704
3194.1,15.716
3196.2,15.733
3197.5,15.746
3203.0,15.754
3208.3,15.766
3211.0,15.773
3212.0,15.787
3214.5,15.796
3216.5,15.804
3218.9,15.816
3223.0,15.823
3223.4,15.837
3225.2,15.845
3227.1,15.853
3229.6,15.865
3231.1,15.873
3238.5,15.886
3241.7,15.895
3244.5,15.915
3245.8,15.922
3246.3,15.937
3248.2,15.945
3248.9,15.956
3250.0,15.965
3252.5,15.978
3254.7,15.986
