i_src,i_meas,v_up,v_down,v_current
1.170, -1.161, 2779.200, 2742.000, 1619.800
1.180, -1.171, 2779.200, 2741.800, 1619.600
1.190, -1.181, 2778.900, 2742.600, 1619.300
1.200, -1.191, 2779.800, 2742.100, 1619.400
1.210, -1.201, 2779.700, 2742.600, 1619.000
1.220, -1.211, 2779.800, 2742.700, 1618.800
1.230, -1.221, 2779.600, 2743.300, 1618.100
1.240, -1.231, 2780.500, 2742.800, 1617.800
1.250, -1.241, 2780.800, 2743.100, 1617.400
1.260, -1.251, 2780.300, 2743.000, 1617.200
1.270, -1.261, 2780.900, 2743.800, 1617.400
1.280, -1.271, 2780.500, 2743.200, 1617.000
1.290, -1.281, 2780.800, 2744.100, 1616.700
1.300, -1.291, 2781.100, 2744.000, 1616.200
1.310, -1.301, 2781.500, 2743.700, 1615.400
1.320, -1.311, 2781.800, 2744.200, 1615.300
1.330, -1.321, 2781.800, 2744.600, 1614.600
1.340, -1.331, 2781.900, 2744.500, 1614.400
1.350, -1.341, 2781.400, 2745.100, 1614.300
1.360, -1.351, 2781.900, 2744.400, 1614.100
1.370, -1.361, 2781.400, 2745.200, 1613.200
1.380, -1.371, 2783.500, 2745.600, 1613.500
1.390, -1.381, 2783.300, 2745.800, 1612.300
1.400, -1.391, 2783.200, 2746.300, 1610.800
1.410, -1.401, 2783.500, 2746.100, 1610.600
1.420, -1.411, 2783.700, 2746.500, 1610.900
1.430, -1.421, 2782.900, 2745.500, 1607.900
1.440, -1.432, 2783.700, 2746.400, 1608.000
1.450, -1.441, 2783.000, 2746.900, 1606.800
1.460, -1.452, 2784.000, 2749.000, 1606.900
1.470, -1.461, 2784.700, 2747.700, 1606.800
1.480, -1.471, 2785.800, 2746.900, 1606.300
1.490, -1.482, 2786.300, 2749.900, 1606.200
1.500, -1.491, 2786.200, 2747.700, 1606.200
1.510, -1.502, 2785.900, 2749.400, 1605.500
1.520, -1.511, 2786.500, 2750.200, 1605.000
1.530, -1.521, 2789.500, 2752.200, 1604.700
1.540, -1.532, 2789.400, 2752.100, 1604.900
1.550, -1.541, 2790.600, 2752.900, 1604.000
1.560, -1.552, 2791.500, 2752.900, 1604.300
1.570, -1.561, 2792.600, 2753.900, 1603.700
1.580, -1.571, 2793.000, 2755.500, 1603.200
1.590, -1.581, 2793.000, 2754.700, 1603.300
1.600, -1.591, 2792.200, 2756.000, 1602.700
1.610, -1.601, 2793.600, 2755.900, 1602.700
1.620, -1.611, 2793.900, 2756.200, 1601.900
1.630, -1.621, 2794.800, 2756.200, 1600.900
1.640, -1.631, 2795.300, 2756.900, 1601.200
1.650, -1.641, 2795.900, 2757.300, 1599.200
1.660, -1.651, 2796.600, 2758.700, 1598.400
1.670, -1.661, 2796.900, 2759.900, 1597.600
1.680, -1.671, 2797.500, 2759.800, 1599.000
1.690, -1.681, 2797.600, 2759.300, 1596.300
1.700, -1.691, 2798.400, 2760.200, 1595.900
1.710, -1.702, 2799.200, 2760.900, 1595.600
1.720, -1.711, 2800.200, 2761.000, 1594.600
1.730, -1.721, 2800.300, 2762.200, 1594.800
1.740, -1.732, 2801.800, 2763.100, 1593.700
1.750, -1.742, 2802.200, 2764.500, 1594.200
1.760, -1.752, 2803.200, 2764.400, 1593.400
1.770, -1.761, 2803.600, 2765.100, 1593.500
1.780, -1.772, 2803.900, 2765.200, 1592.800
1.790, -1.782, 2803.200, 2764.900, 1593.200
1.800, -1.792, 2803.800, 2766.500, 1592.600
1.810, -1.802, 2803.800, 2766.600, 1592.500
1.820, -1.812, 2805.600, 2767.600, 1592.100
