v_src_ch2,v_meas_ch2,slA_ch1,slA_ch2,slB_ch1,slB_ch2
2.510, 2.502, 2210.800, 2777.400, 2160.600, 2716.600
2.520, 2.510, 2218.200, 2778.700, 2167.400, 2719.100
2.530, 2.524, 2226.100, 2781.800, 2175.400, 2725.100
2.540, 2.532, 2237.400, 2784.400, 2186.000, 2729.600
2.550, 2.543, 2245.300, 2795.000, 2194.400, 2735.400
2.560, 2.552, 2255.000, 2799.700, 2202.300, 2739.200
2.570, 2.560, 2262.600, 2804.900, 2211.800, 2743.100
2.580, 2.573, 2268.900, 2806.700, 2218.200, 2745.700
2.590, 2.583, 2280.900, 2812.200, 2230.300, 2753.700
2.600, 2.594, 2290.100, 2816.900, 2237.800, 2756.500
2.610, 2.602, 2300.500, 2822.500, 2248.000, 2763.100
2.620, 2.616, 2306.600, 2825.500, 2255.500, 2765.200
2.630, 2.624, 2318.600, 2830.900, 2267.300, 2773.500
2.640, 2.632, 2326.800, 2832.600, 2275.100, 2775.900
2.650, 2.643, 2334.300, 2840.500, 2283.100, 2780.900
2.660, 2.652, 2343.200, 2843.100, 2290.800, 2783.700
2.670, 2.665, 2352.900, 2849.300, 2301.300, 2790.100
2.680, 2.673, 2362.500, 2855.600, 2311.500, 2793.000
2.690, 2.682, 2369.900, 2858.900, 2317.600, 2797.700
2.700, 2.693, 2378.400, 2861.700, 2326.400, 2801.300
2.710, 2.702, 2387.800, 2867.800, 2335.700, 2807.400
2.720, 2.713, 2395.600, 2869.900, 2342.600, 2808.900
2.730, 2.721, 2404.500, 2877.100, 2352.500, 2816.600
2.740, 2.729, 2412.000, 2878.600, 2359.900, 2818.700
2.750, 2.740, 2418.900, 2881.500, 2367.300, 2823.200
2.760, 2.749, 2427.900, 2883.300, 2375.500, 2825.900
2.770, 2.762, 2438.200, 2885.300, 2385.800, 2833.000
2.780, 2.770, 2446.700, 2893.400, 2394.500, 2835.600
2.790, 2.779, 2453.800, 2900.200, 2402.800, 2843.200
2.800, 2.790, 2463.700, 2903.100, 2409.700, 2845.000
2.810, 2.799, 2472.000, 2907.000, 2420.100, 2851.100
2.820, 2.812, 2472.100, 2912.000, 2428.100, 2851.200
2.830, 2.820, 2487.600, 2919.300, 2440.900, 2859.600
2.840, 2.829, 2497.900, 2921.100, 2444.100, 2862.900
2.850, 2.840, 2507.100, 2927.400, 2454.700, 2868.800
2.860, 2.849, 2516.100, 2926.900, 2463.000, 2871.100
2.870, 2.862, 2526.700, 2935.500, 2472.100, 2876.700
2.880, 2.870, 2537.000, 2939.900, 2481.100, 2880.300
2.890, 2.882, 2545.900, 2949.400, 2491.800, 2885.100
2.900, 2.890, 2555.000, 2952.800, 2500.300, 2887.300
2.910, 2.898, 2563.200, 2959.600, 2508.300, 2895.200
2.920, 2.912, 2571.600, 2961.400, 2516.000, 2895.300
2.930, 2.920, 2582.400, 2967.000, 2526.600, 2905.000
2.940, 2.932, 2589.000, 2969.300, 2533.800, 2907.400
2.950, 2.939, 2599.000, 2977.500, 2546.300, 2915.200
2.960, 2.949, 2606.000, 2979.800, 2550.200, 2916.900
2.970, 2.962, 2614.800, 2983.900, 2560.400, 2922.700
2.980, 2.970, 2625.600, 2986.200, 2571.900, 2925.100
2.990, 2.982, 2634.600, 2989.700, 2577.700, 2931.200
3.000, 2.990, 2643.500, 2991.600, 2587.300, 2935.300
3.010, 2.998, 2650.900, 3004.400, 2595.800, 2939.700
3.020, 3.012, 2658.500, 3008.100, 2603.400, 2943.200
3.030, 3.020, 2670.100, 3013.100, 2614.300, 2949.100
3.040, 3.032, 2675.800, 3015.400, 2622.300, 2950.700
3.050, 3.039, 2683.900, 3020.800, 2631.600, 2959.100
3.060, 3.048, 2694.800, 3023.800, 2637.100, 2961.300
3.070, 3.061, 2703.400, 3030.600, 2648.200, 2967.400
3.080, 3.069, 2714.300, 3035.200, 2655.800, 2971.400
3.090, 3.081, 2722.300, 3038.300, 2665.300, 2976.800
3.100, 3.089, 2732.000, 3040.400, 2675.200, 2980.800
3.110, 3.102, 2740.300, 3048.500, 2682.700, 2986.200
3.120, 3.112, 2751.400, 3054.200, 2693.400, 2987.800
3.130, 3.120, 2759.100, 3062.500, 2701.500, 2994.900
3.140, 3.131, 2765.900, 3063.400, 2708.800, 2997.300
3.150, 3.139, 2776.800, 3067.400, 2719.400, 3002.700
3.160, 3.153, 2783.700, 3069.800, 2727.400, 3005.100
3.170, 3.161, 2795.000, 3076.600, 2736.500, 3012.100
3.180, 3.169, 2802.500, 3080.400, 2745.800, 3014.500
3.190, 3.181, 2809.600, 3086.100, 2753.300, 3021.300
3.200, 3.189, 2820.500, 3088.300, 2760.000, 3025.100
3.210, 3.202, 2828.700, 3090.600, 2768.900, 3028.500
3.220, 3.212, 2838.100, 3093.800, 2780.200, 3033.900
3.230, 3.219, 2846.900, 3103.600, 2789.000, 3039.700
3.240, 3.231, 2853.300, 3107.100, 2795.500, 3040.700
3.250, 3.239, 2864.100, 3114.100, 2804.700, 3047.900
3.260, 3.253, 2872.100, 3116.300, 2810.400, 3048.500
3.270, 3.262, 2882.400, 3123.500, 2824.100, 3055.200
3.280, 3.270, 2886.000, 3125.000, 2829.500, 3050.600
3.290, 3.281, 2891.000, 3131.000, 2836.300, 3067.100
3.300, 3.289, 2907.700, 3135.200, 2853.100, 3063.600
3.310, 3.303, 2915.900, 3140.000, 2856.200, 3073.100
3.320, 3.312, 2928.800, 3142.600, 2864.800, 3074.500
3.330, 3.319, 2935.800, 3150.300, 2876.900, 3082.900
3.340, 3.331, 2942.300, 3150.500, 2880.900, 3084.000
3.350, 3.339, 2952.800, 3160.600, 2890.100, 3091.000
3.360, 3.353, 2961.000, 3163.500, 2897.100, 3090.600
3.370, 3.361, 2973.000, 3168.600, 2912.200, 3099.100
3.380, 3.372, 2980.300, 3172.000, 2918.900, 3102.700
3.390, 3.381, 2989.000, 3177.600, 2932.200, 3110.300
3.400, 3.389, 2997.300, 3179.900, 2937.400, 3114.800
3.410, 3.402, 3005.600, 3186.500, 2944.500, 3119.900
3.420, 3.412, 3015.300, 3191.300, 2957.400, 3125.000
3.430, 3.422, 3024.300, 3193.600, 2965.500, 3129.200
3.440, 3.431, 3034.700, 3195.500, 2971.700, 3132.100
3.450, 3.439, 3040.900, 3197.000, 2983.900, 3137.100
3.460, 3.453, 3049.200, 3203.500, 2988.600, 3141.900
3.470, 3.461, 3060.400, 3213.300, 2999.700, 3147.600
3.480, 3.472, 3068.400, 3217.200, 3008.300, 3150.400
3.490, 3.481, 3077.000, 3222.700, 3017.200, 3155.800
3.500, 3.489, 3083.900, 3224.500, 3023.800, 3157.200
3.510, 3.502, 3090.400, 3232.000, 3034.700, 3164.700
3.520, 3.511, 3103.000, 3236.200, 3043.600, 3168.300
3.530, 3.522, 3113.300, 3241.100, 3049.800, 3175.700
3.540, 3.531, 3121.300, 3244.100, 3060.100, 3177.600
3.550, 3.539, 3130.400, 3247.200, 3066.900, 3182.600
3.560, 3.552, 3139.100, 3250.300, 3073.500, 3186.400
3.570, 3.561, 3148.700, 3260.600, 3087.800, 3193.700
3.580, 3.572, 3154.900, 3263.700, 3093.600, 3195.100
3.590, 3.581, 3166.100, 3269.000, 3104.900, 3200.800
3.600, 3.594, 3174.000, 3271.000, 3113.600, 3203.900
3.610, 3.602, 3186.900, 3279.400, 3122.400, 3210.000
3.620, 3.611, 3192.100, 3280.000, 3130.400, 3212.100
3.630, 3.622, 3198.400, 3287.200, 3139.800, 3218.200
3.640, 3.630, 3209.900, 3288.800, 3145.900, 3220.300
3.650, 3.644, 3219.100, 3294.100, 3155.400, 3229.700
3.660, 3.652, 3228.500, 3295.500, 3168.000, 3232.500
3.670, 3.661, 3239.400, 3297.000, 3174.100, 3235.700
3.680, 3.672, 3245.600, 3297.400, 3181.700, 3238.700
3.690, 3.681, 3254.500, 3300.000, 3193.100, 3245.500
