v_src_ch2,v_meas_ch2,slA_ch1,slA_ch2,slB_ch1,slB_ch2
2.210, 2.203, 1946.200, 2565.300, 1897.000, 2509.900
2.220, 2.211, 1953.500, 2644.500, 1904.700, 2585.000
2.230, 2.224, 1962.100, 2650.400, 1914.800, 2590.700
2.240, 2.233, 1971.800, 2653.400, 1925.500, 2595.300
2.250, 2.241, 1980.200, 2657.900, 1931.900, 2600.900
2.260, 2.253, 1987.200, 2660.400, 1940.000, 2602.800
2.270, 2.261, 1997.500, 2667.700, 1950.200, 2610.300
2.280, 2.274, 2005.700, 2668.600, 1956.600, 2611.300
2.290, 2.283, 2016.600, 2675.900, 1968.200, 2618.000
2.300, 2.291, 2023.100, 2677.300, 1976.400, 2622.100
2.310, 2.302, 2032.200, 2682.300, 1982.000, 2627.800
2.320, 2.310, 2042.500, 2685.500, 1992.600, 2627.800
2.330, 2.324, 2048.700, 2694.600, 1999.600, 2635.200
2.340, 2.333, 2060.200, 2700.100, 2011.900, 2639.300
2.350, 2.341, 2069.300, 2704.300, 2018.900, 2645.000
2.360, 2.353, 2076.000, 2705.800, 2026.100, 2647.000
2.370, 2.361, 2085.800, 2713.200, 2036.000, 2653.600
2.380, 2.374, 2095.000, 2715.300, 2044.900, 2657.000
2.390, 2.383, 2105.500, 2723.200, 2056.700, 2663.600
2.400, 2.394, 2112.600, 2725.900, 2065.600, 2665.100
2.410, 2.402, 2123.100, 2730.100, 2072.500, 2673.100
2.420, 2.410, 2130.600, 2732.000, 2080.600, 2675.300
2.430, 2.424, 2137.500, 2740.600, 2088.300, 2679.200
2.440, 2.433, 2149.500, 2744.300, 2098.900, 2683.300
2.450, 2.443, 2157.800, 2751.000, 2108.700, 2689.800
2.460, 2.453, 2165.200, 2753.600, 2116.700, 2692.200
2.470, 2.460, 2174.700, 2758.500, 2124.600, 2698.900
2.480, 2.474, 2182.400, 2760.200, 2132.900, 2701.000
2.490, 2.483, 2194.200, 2767.100, 2143.100, 2708.800
2.500, 2.494, 2201.400, 2770.900, 2150.400, 2711.800
