i_src,i_meas,v_up,v_down,v_current
1.170, 1.161, 2727.600, 2692.700, 1730.100
1.180, 1.171, 2727.300, 2693.000, 1730.600
1.190, 1.181, 2727.500, 2692.400, 1730.500
1.200, 1.191, 2727.500, 2692.400, 1730.800
1.210, 1.202, 2727.600, 2692.400, 1732.100
1.220, 1.211, 2726.800, 2692.500, 1731.900
1.230, 1.221, 2726.700, 2691.400, 1732.600
1.240, 1.232, 2726.800, 2691.700, 1733.000
1.250, 1.241, 2726.700, 2691.600, 1734.000
1.260, 1.252, 2726.500, 2692.500, 1734.000
1.270, 1.261, 2725.900, 2691.700, 1733.900
1.280, 1.271, 2726.700, 2691.700, 1734.700
1.290, 1.282, 2726.500, 2690.400, 1734.900
1.300, 1.291, 2725.600, 2691.400, 1734.900
1.310, 1.302, 2726.100, 2690.800, 1735.000
1.320, 1.311, 2726.400, 2690.200, 1735.800
1.330, 1.321, 2724.900, 2690.800, 1735.600
1.340, 1.332, 2725.700, 2689.700, 1736.600
1.350, 1.341, 2724.400, 2690.100, 1736.700
1.360, 1.352, 2724.300, 2690.200, 1736.800
1.370, 1.361, 2723.300, 2688.800, 1736.600
1.380, 1.371, 2723.700, 2689.200, 1739.500
1.390, 1.382, 2724.100, 2686.800, 1739.000
1.400, 1.391, 2723.500, 2688.200, 1739.900
1.410, 1.401, 2723.400, 2688.500, 1741.400
1.420, 1.411, 2723.700, 2688.300, 1740.800
1.430, 1.421, 2723.500, 2688.200, 1742.000
1.440, 1.432, 2723.100, 2688.600, 1743.100
1.450, 1.442, 2722.400, 2688.000, 1743.200
1.460, 1.452, 2722.900, 2685.700, 1743.600
1.470, 1.462, 2722.200, 2685.500, 1744.100
1.480, 1.472, 2722.500, 2686.000, 1743.300
1.490, 1.482, 2722.800, 2684.200, 1744.600
1.500, 1.492, 2722.400, 2684.900, 1745.300
1.510, 1.502, 2721.700, 2683.200, 1745.000
1.520, 1.512, 2721.700, 2682.200, 1745.700
1.530, 1.522, 2721.100, 2684.600, 1745.700
1.540, 1.532, 2721.000, 2682.800, 1746.900
1.550, 1.542, 2720.900, 2683.100, 1747.000
1.560, 1.552, 2721.000, 2682.000, 1747.100
1.570, 1.561, 2720.000, 2681.500, 1747.900
1.580, 1.571, 2720.600, 2681.000, 1747.200
1.590, 1.582, 2720.300, 2680.900, 1747.900
1.600, 1.591, 2720.200, 2682.100, 1748.800
1.610, 1.602, 2720.600, 2681.500, 1748.900
1.620, 1.611, 2721.000, 2682.000, 1750.400
1.630, 1.621, 2720.100, 2682.300, 1749.800
1.640, 1.632, 2720.300, 2681.600, 1751.500
1.650, 1.642, 2719.800, 2683.200, 1752.300
1.660, 1.652, 2719.500, 2681.800, 1753.300
1.670, 1.661, 2719.800, 2682.500, 1754.100
1.680, 1.671, 2719.400, 2680.900, 1753.900
1.690, 1.682, 2718.600, 2680.900, 1755.000
1.700, 1.692, 2719.300, 2680.800, 1755.600
1.710, 1.702, 2719.400, 2681.600, 1755.600
1.720, 1.712, 2719.400, 2680.900, 1755.900
1.730, 1.722, 2718.300, 2681.000, 1755.900
1.740, 1.732, 2718.600, 2680.500, 1756.600
1.750, 1.742, 2718.000, 2680.700, 1756.400
1.760, 1.752, 2717.400, 2680.700, 1756.900
1.770, 1.762, 2718.500, 2680.500, 1757.800
1.780, 1.772, 2717.200, 2680.700, 1757.700
1.790, 1.782, 2716.900, 2680.700, 1757.400
1.800, 1.792, 2717.800, 2680.800, 1758.300
1.810, 1.802, 2717.200, 2680.700, 1759.000
1.820, 1.812, 2716.200, 2680.500, 1759.000
1.830, 1.822, 2717.100, 2680.700, 1759.800
1.840, 1.832, 2716.000, 2680.700, 1760.200
1.850, 1.842, 2715.500, 2679.800, 1759.800
1.860, 1.852, 2715.600, 2680.300, 1760.600
1.870, 1.862, 2715.100, 2680.300, 1760.800
1.880, 1.872, 2715.400, 2679.700, 1761.400
1.890, 1.882, 2714.500, 2680.300, 1761.300
1.900, 1.892, 2714.700, 2679.900, 1761.700
1.910, 1.902, 2714.500, 2679.400, 1761.600
1.920, 1.912, 2714.400, 2680.200, 1762.700
1.930, 1.922, 2714.200, 2679.500, 1762.600
1.940, 1.932, 2714.700, 2678.900, 1764.900
1.950, 1.942, 2713.300, 2678.500, 1765.200
1.960, 1.952, 2713.700, 2678.400, 1764.800
1.970, 1.962, 2713.500, 2678.400, 1768.000
1.980, 1.972, 2711.900, 2678.300, 1768.000
1.990, 1.983, 2712.100, 2677.800, 1768.900
2.000, 1.993, 2711.500, 2678.000, 1768.600
2.010, 2.003, 2711.600, 2677.000, 1769.000
2.020, 2.012, 2711.000, 2677.100, 1769.100
2.030, 2.022, 2711.200, 2677.000, 1770.100
2.040, 2.033, 2710.800, 2677.000, 1770.000
2.050, 2.043, 2710.200, 2677.100, 1770.200
2.060, 2.053, 2710.700, 2677.000, 1770.400
2.070, 2.062, 2710.300, 2676.800, 1771.300
2.080, 2.072, 2710.000, 2677.100, 1771.600
2.090, 2.083, 2709.800, 2676.600, 1771.300
2.100, 2.093, 2709.700, 2676.700, 1772.000
2.110, 2.101, 2709.400, 2676.300, 1772.200
2.120, 2.111, 2708.800, 2676.800, 1772.300
2.130, 2.121, 2709.300, 2675.800, 1772.800
2.140, 2.132, 2709.100, 2676.600, 1773.300
2.150, 2.141, 2708.000, 2675.700, 1773.500
2.160, 2.151, 2708.800, 2676.100, 1775.400
2.170, 2.161, 2707.900, 2675.500, 1775.700
2.180, 2.171, 2707.800, 2674.600, 1775.400
2.190, 2.181, 2708.100, 2675.600, 1776.500
2.200, 2.191, 2706.800, 2675.300, 1775.600
2.210, 2.201, 2707.400, 2674.700, 1778.000
2.220, 2.211, 2707.000, 2674.400, 1778.100
2.230, 2.221, 2708.000, 2674.000, 1778.300
2.240, 2.232, 2706.700, 2674.500, 1778.100
2.250, 2.242, 2707.500, 2674.200, 1779.100
2.260, 2.252, 2706.100, 2673.100, 1781.200
2.270, 2.261, 2705.400, 2672.700, 1782.100
2.280, 2.271, 2705.000, 2672.600, 1783.200
2.290, 2.282, 2705.000, 2671.200, 1785.300
2.300, 2.292, 2704.600, 2672.500, 1784.800
2.310, 2.302, 2705.300, 2671.300, 1785.200
2.320, 2.312, 2705.100, 2673.300, 1782.000
2.330, 2.322, 2704.900, 2672.300, 1785.400
2.340, 2.332, 2704.000, 2670.700, 1786.100
2.350, 2.342, 2704.300, 2671.300, 1785.600
2.360, 2.352, 2704.600, 2672.500, 1784.300
2.370, 2.361, 2703.700, 2669.300, 1784.400
2.380, 2.371, 2703.900, 2670.400, 1784.700
2.390, 2.382, 2703.800, 2670.200, 1787.500
2.400, 2.392, 2703.600, 2670.400, 1785.200
2.410, 2.402, 2703.600, 2668.400, 1785.700
2.420, 2.412, 2703.300, 2669.900, 1786.200
2.430, 2.421, 2703.400, 2669.500, 1786.300
2.440, 2.432, 2702.700, 2668.200, 1787.200
2.450, 2.442, 2702.600, 2669.400, 1786.900
2.460, 2.452, 2702.200, 2668.500, 1787.100
2.470, 2.462, 2702.600, 2669.200, 1786.800
2.480, 2.471, 2702.500, 2669.200, 1788.300
2.490, 2.482, 2702.500, 2669.000, 1789.800
2.500, 2.492, 2702.400, 2667.400, 1789.200
2.510, 2.502, 2701.600, 2667.800, 1790.300
2.520, 2.512, 2701.700, 2667.400, 1791.800
2.530, 2.522, 2701.400, 2667.200, 1791.500
2.540, 2.532, 2701.300, 2666.900, 1792.700
2.550, 2.542, 2701.700, 2667.100, 1792.300
2.560, 2.552, 2700.700, 2666.100, 1793.500
2.570, 2.562, 2700.900, 2666.800, 1794.400
2.580, 2.572, 2698.800, 2665.800, 1795.400
2.590, 2.582, 2698.400, 2665.600, 1795.300
2.600, 2.592, 2698.300, 2664.600, 1795.900
2.610, 2.602, 2699.200, 2665.200, 1796.300
2.620, 2.613, 2698.700, 2665.200, 1796.100
2.630, 2.622, 2698.900, 2665.400, 1795.900
2.640, 2.632, 2698.700, 2665.300, 1797.100
2.650, 2.642, 2698.500, 2664.800, 1796.900
2.660, 2.652, 2698.000, 2665.200, 1797.200
2.670, 2.662, 2697.900, 2665.000, 1797.500
2.680, 2.671, 2698.600, 2664.700, 1797.900
2.690, 2.682, 2698.300, 2665.200, 1798.200
2.700, 2.692, 2697.300, 2664.200, 1798.300
2.710, 2.702, 2697.300, 2665.100, 1799.300
2.720, 2.712, 2696.800, 2664.200, 1799.500
2.730, 2.721, 2696.700, 2664.100, 1799.700
