i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
0.750, -0.743, 2738.300, 2702.700, 1709.500, 13.495, 13.304, 0.713
0.760, -0.753, 2738.100, 2702.900, 1709.000, 13.495, 13.304, 0.713
0.770, -0.763, 2737.500, 2702.000, 1709.700, 13.490, 13.304, 0.713
0.780, -0.773, 2737.700, 2701.700, 1710.000, 13.490, 13.300, 0.745
0.790, -0.782, 2736.200, 2701.800, 1710.000, 13.485, 13.300, 0.745
0.800, -0.792, 2736.300, 2701.900, 1711.000, 13.485, 13.300, 0.791
0.810, -0.803, 2736.300, 2701.100, 1711.800, 13.485, 13.300, 0.791
0.820, -0.813, 2735.000, 2701.100, 1711.600, 13.480, 13.300, 0.791
0.830, -0.823, 2735.800, 2701.300, 1712.700, 13.480, 13.300, 0.794
0.840, -0.832, 2736.800, 2701.500, 1714.000, 13.485, 13.300, 0.799
0.850, -0.842, 2734.600, 2700.500, 1715.000, 13.475, 13.296, 0.825
0.860, -0.853, 2734.200, 2701.400, 1716.100, 13.475, 13.300, 0.833
0.870, -0.862, 2734.900, 2700.800, 1716.100, 13.475, 13.296, 0.833
0.880, -0.872, 2733.800, 2700.700, 1717.600, 13.470, 13.296, 0.840
0.890, -0.882, 2733.000, 2700.700, 1717.600, 13.470, 13.296, 0.840
0.900, -0.892, 2733.900, 2700.700, 1718.200, 13.470, 13.296, 0.875
0.910, -0.903, 2732.600, 2700.700, 1717.800, 13.465, 13.296, 0.840
0.920, -0.913, 2733.500, 2700.500, 1718.200, 13.470, 13.296, 0.875
0.930, -0.923, 2732.400, 2699.700, 1718.500, 13.465, 13.292, 0.875
0.940, -0.933, 2732.700, 2699.900, 1718.700, 13.465, 13.292, 0.875
0.950, -0.943, 2731.800, 2699.300, 1718.900, 13.460, 13.292, 0.875
0.960, -0.953, 2732.200, 2699.900, 1719.000, 13.465, 13.292, 0.931
0.970, -0.963, 2732.700, 2700.300, 1719.600, 13.465, 13.296, 0.931
0.980, -0.973, 2732.100, 2699.400, 1720.300, 13.465, 13.292, 0.951
0.990, -0.983, 2731.500, 2698.700, 1720.500, 13.460, 13.287, 0.951
1.000, -0.993, 2731.200, 2699.200, 1720.900, 13.460, 13.292, 0.951
1.010, -1.003, 2731.200, 2699.200, 1721.100, 13.460, 13.292, 0.961
