slB_ch2,v_meas_ch2
1923.1,4.356
1927.3,4.367
1931.4,4.376
1937.6,4.384
1939.8,4.398
1947.4,4.406
1950.8,4.417
1953.1,4.427
1959.0,4.44
1963.7,4.448
1964.6,4.458
1972.0,4.477
1977.5,4.491
1982.0,4.499
1988.5,4.508
1990.9,4.518
1995.5,4.528
2003.8,4.541
2006.3,4.549
2010.5,4.561
2012.8,4.578
2027.8,4.591
2029.5,4.599
2036.1,4.641
2040.6,4.618
2045.8,4.632
2053.3,4.649
2056.1,4.661
2062.2,4.682
2073.4,4.691
2077.3,4.699
2081.6,4.719
2092.0,4.733
2094.6,4.742
2099.6,4.753
2100.2,4.762
2109.3,4.769
2111.8,4.783
2118.4,4.792
2121.5,4.802
2128.4,4.811
2133.1,4.824
2137.2,4.832
2140.8,4.841
2144.6,4.852
2149.4,4.86
2154.4,4.873
2159.9,4.881
2163.1,4.89
2167.9,4.901
2172.8,4.91
2176.0,4.923
2182.9,4.931
2184.5,4.943
2190.2,4.951
2195.1,4.96
2199.9,4.973
2203.8,4.981
2207.9,4.994
2211.8,5.001
2216.8,5.015
2223.0,5.024
2226.5,5.031
2229.9,5.043
2236.2,5.051
2239.7,5.065
2245.2,5.073
2249.4,5.084
2253.3,5.093
2258.1,5.101
2262.2,5.114
2266.3,5.123
2271.6,5.134
2276.6,5.142
2278.5,5.15
2284.8,5.164
2289.0,5.173
2294.0,5.183
2299.3,5.193
2303.5,5.206
2308.8,5.214
2313.0,5.223
2315.8,5.234
2320.8,5.242
2326.1,5.257
2329.7,5.264
2333.7,5.276
2340.2,5.284
2342.8,5.293
2347.5,5.306
2353.2,5.314
2356.4,5.326
2361.5,5.334
2366.0,5.342
2368.7,5.356
2375.2,5.364
2378.7,5.376
2381.9,5.383
2387.9,5.398
2394.0,5.407
2396.3,5.414
2402.5,5.426
2406.1,5.434
2409.9,5.447
2417.0,5.457
2420.6,5.467
2425.2,5.476
2430.2,5.484
2432.2,5.498
2437.7,5.506
2442.5,5.517
2447.0,5.527
2450.8,5.535
2456.3,5.548
2459.1,5.557
2464.9,5.567
2469.4,5.576
2472.0,5.59
2477.0,5.598
2482.8,5.606
2485.8,5.617
2491.3,5.626
2496.5,5.64
2502.5,5.647
2505.8,5.659
2510.5,5.667
2511.9,5.676
2517.6,5.689
2523.5,5.697
2528.2,5.709
2533.4,5.717
2536.4,5.73
2541.1,5.739
2545.7,5.747
2547.7,5.759
2553.9,5.767
2557.0,5.78
2563.1,5.79
2569.4,5.797
2573.2,5.809
2575.9,5.817
2581.6,5.83
2586.2,5.839
2593.0,5.848
2594.1,5.864
2600.6,5.871
2604.1,5.884
2609.9,5.891
2612.0,5.9
2614.0,5.929
2621.3,5.92
2627.1,5.951
2634.9,5.961
2639.0,5.969
2646.6,5.982
2653.5,5.988
2656.7,6.004
2664.6,6.01
2664.9,6.02
2670.2,6.029
2674.7,6.04
2677.8,6.052
2682.1,6.061
2688.5,6.072
2692.4,6.081
2696.3,6.088
2701.0,6.103
2708.8,6.109
2709.7,6.123
2716.7,6.129
2718.9,6.144
2727.1,6.151
2729.2,6.161
2733.4,6.171
2737.6,6.181
2742.5,6.192
2745.9,6.203
2751.1,6.209
2754.1,6.222
2759.8,6.228
2763.4,6.244
2769.9,6.251
2774.5,6.264
2780.7,6.271
2781.7,6.281
2787.4,6.292
2791.0,6.303
2795.7,6.312
2797.9,6.322
2806.8,6.334
2810.5,6.344
2814.2,6.351
2817.9,6.363
2822.4,6.37
2826.1,6.385
2832.8,6.391
2835.4,6.401
2840.2,6.41
2843.9,6.421
2847.6,6.432
2852.0,6.442
2859.2,6.452
2862.8,6.462
2866.9,6.469
2871.1,6.484
2876.5,6.49
2878.6,6.504
2884.8,6.51
2886.6,6.525
2895.5,6.533
2898.0,6.542
2903.0,6.552
2906.7,6.562
2912.6,6.574
2915.6,6.582
2922.2,6.592
2925.3,6.603
2930.5,6.609
2933.4,6.624
2939.1,6.631
2943.0,6.643
2948.5,6.65
2949.5,6.66
2954.1,6.672
2960.2,6.682
2965.7,6.691
2970.4,6.702
2975.1,6.714
2978.7,6.723
2984.5,6.73
2987.0,6.743
2991.5,6.749
2993.9,6.765
3001.5,6.772
3003.6,6.785
3012.0,6.791
3014.2,6.802
3018.8,6.813
3025.3,6.823
3028.6,6.834
3032.2,6.843
3038.5,6.85
3039.4,6.865
3048.6,6.871
3050.2,6.885
3054.3,6.891
3058.0,6.907
3065.7,6.914
3068.9,6.923
3073.7,6.934
3077.2,6.943
3081.7,6.955
3085.0,6.965
3089.9,6.975
3092.1,6.985
3095.9,6.991
3097.0,7.006
3108.1,7.013
3111.6,7.026
3117.9,7.034
3121.2,7.043
3123.8,7.055
3130.3,7.065
3131.5,7.074
3133.1,7.097
3145.2,7.113
3153.9,7.126
3158.2,7.167
3164.4,7.148
3171.8,7.184
3182.7,7.173
3186.9,7.205
3197.6,7.215
3199.3,7.225
3207.1,7.237
3208.3,7.247
3215.6,7.253
3218.2,7.267
3225.3,7.273
3230.0,7.288
3234.8,7.296
3237.3,7.305
3242.9,7.315
3246.4,7.325
3251.7,7.337
3256.3,7.347
