SRC,MULT,VBAT,VPOW
9.510, 9.501, 1916.900, 1922.900
9.520, 9.510, 1922.200, 1923.600
9.530, 9.518, 1923.900, 1925.300
9.540, 9.530, 1925.700, 1926.400
9.550, 9.537, 1926.200, 1928.200
9.560, 9.551, 1928.500, 1929.900
9.570, 9.559, 1929.900, 1933.600
9.580, 9.570, 1933.900, 1936.500
9.590, 9.580, 1936.700, 1937.800
9.600, 9.588, 1937.500, 1938.500
9.610, 9.601, 1939.000, 1941.000
9.620, 9.610, 1940.900, 1942.000
9.630, 9.621, 1941.900, 1946.300
9.640, 9.629, 1944.800, 1949.100
9.650, 9.643, 1949.000, 1950.200
9.660, 9.643, 1950.000, 1950.600
9.670, 9.659, 1951.400, 1953.100
9.680, 9.670, 1953.800, 1954.900
9.690, 9.679, 1954.800, 1956.700
9.700, 9.692, 1959.200, 1962.200
9.710, 9.700, 1961.800, 1963.000
9.720, 9.709, 1963.100, 1963.400
9.730, 9.720, 1964.100, 1965.700
9.740, 9.729, 1965.300, 1967.000
9.750, 9.742, 1966.800, 1969.800
9.760, 9.750, 1968.000, 1973.000
9.770, 9.762, 1973.700, 1974.700
9.780, 9.769, 1974.300, 1976.000
9.790, 9.779, 1976.700, 1977.600
9.800, 9.792, 1978.500, 1979.800
9.810, 9.799, 1979.700, 1980.700
9.820, 9.812, 1981.300, 1985.200
9.830, 9.819, 1983.600, 1987.800
9.840, 9.832, 1988.100, 1989.600
9.850, 9.841, 1989.600, 1991.000
9.860, 9.849, 1991.100, 1991.500
9.870, 9.860, 1991.800, 1993.000
9.880, 9.868, 1993.000, 1996.000
9.890, 9.882, 1996.700, 2000.500
9.900, 9.890, 1999.900, 2001.200
9.910, 9.901, 2001.200, 2003.100
9.920, 9.910, 2003.600, 2004.100
9.930, 9.918, 2004.200, 2005.500
9.940, 9.931, 2006.000, 2010.000
9.950, 9.940, 2007.800, 2013.100
9.960, 9.951, 2011.800, 2014.100
9.970, 9.959, 2014.100, 2015.500
9.980, 9.967, 2015.300, 2017.000
9.990, 9.981, 2016.800, 2018.400
10.000, 9.990, 2018.000, 2020.100
