v_src_ch1,v_meas_ch2,slA_ch1,slA_ch2,slB_ch1,slB_ch2
2.200, 5.848, 3276.000, 2651.600, 3216.100, 2593.000
2.210, 5.864, 3275.200, 2651.900, 3214.100, 2594.100
2.220, 5.871, 3275.700, 2658.700, 3215.400, 2600.600
2.230, 5.884, 3274.000, 2659.900, 3214.500, 2604.100
2.240, 5.891, 3276.800, 2666.000, 3213.700, 2609.900
2.250, 5.900, 3274.500, 2670.400, 3211.600, 2612.000
2.260, 5.909, 3276.100, 2674.700, 3214.700, 2616.600
2.270, 5.920, 3273.900, 2677.000, 3211.000, 2621.300
2.280, 5.929, 3276.200, 2681.400, 3207.300, 2614.000
2.290, 5.940, 3275.500, 2686.900, 3207.200, 2627.300
2.300, 5.951, 3276.200, 2694.000, 3207.500, 2627.100
2.310, 5.961, 3275.400, 2699.200, 3209.600, 2634.900
2.320, 5.969, 3274.800, 2703.500, 3214.800, 2639.000
2.330, 5.982, 3275.200, 2706.500, 3211.600, 2646.600
2.340, 5.988, 3275.000, 2712.100, 3212.000, 2653.500
2.350, 6.004, 3274.200, 2715.600, 3212.100, 2656.700
2.360, 6.010, 3276.000, 2722.500, 3214.000, 2664.600
2.370, 6.020, 3274.400, 2725.300, 3213.700, 2664.900
2.380, 6.029, 3275.400, 2728.800, 3215.100, 2670.200
2.390, 6.040, 3275.000, 2732.300, 3211.500, 2674.700
2.400, 6.052, 3276.100, 2738.900, 3214.500, 2677.800
2.410, 6.061, 3274.700, 2744.600, 3212.000, 2682.100
2.420, 6.072, 3274.700, 2748.200, 3213.700, 2688.500
2.430, 6.081, 3274.900, 2753.900, 3212.600, 2692.400
2.440, 6.088, 3274.600, 2757.600, 3214.700, 2696.300
2.450, 6.103, 3274.400, 2760.700, 3213.200, 2701.000
2.460, 6.109, 3275.500, 2766.000, 3214.500, 2708.800
2.470, 6.123, 3275.000, 2769.500, 3211.700, 2709.700
2.480, 6.129, 3275.900, 2775.500, 3214.800, 2716.700
2.490, 6.144, 3274.500, 2777.800, 3214.200, 2718.900
2.500, 6.151, 3275.100, 2781.600, 3214.100, 2727.100
2.510, 6.161, 3275.600, 2784.200, 3214.400, 2729.200
2.520, 6.171, 3275.400, 2790.400, 3213.600, 2733.400
2.530, 6.181, 3274.100, 2797.500, 3211.700, 2737.600
2.540, 6.192, 3275.500, 2803.200, 3213.000, 2742.500
2.550, 6.203, 3274.100, 2807.300, 3213.000, 2745.900
2.560, 6.209, 3274.600, 2810.500, 3212.600, 2751.100
2.570, 6.222, 3274.400, 2814.100, 3214.100, 2754.100
2.580, 6.228, 3275.000, 2820.700, 3213.700, 2759.800
2.590, 6.244, 3274.100, 2824.100, 3211.900, 2763.400
2.600, 6.251, 3274.400, 2829.800, 3213.100, 2769.900
2.610, 6.264, 3274.500, 2831.400, 3212.200, 2774.500
2.620, 6.271, 3275.100, 2839.000, 3211.000, 2780.700
2.630, 6.281, 3274.700, 2842.700, 3211.100, 2781.700
2.640, 6.292, 3273.300, 2847.700, 3213.800, 2787.400
2.650, 6.303, 3273.500, 2853.400, 3211.200, 2791.000
2.660, 6.312, 3274.600, 2857.700, 3213.500, 2795.700
2.670, 6.322, 3273.400, 2861.400, 3213.400, 2797.900
2.680, 6.334, 3273.800, 2866.500, 3214.200, 2806.800
2.690, 6.344, 3273.100, 2871.000, 3212.600, 2810.500
2.700, 6.351, 3274.800, 2875.900, 3212.800, 2814.200
