V1, V2
1.9100000000000001, 1.76412300E+00
1.92, 1.81061900E+00
1.93, 1.82301300E+00
1.94, 1.83106700E+00
1.95, 1.84132600E+00
1.96, 1.84979000E+00
1.97, 1.86221100E+00
1.98, 1.86947600E+00
1.99, 1.87809600E+00
2.0, 1.88829500E+00
2.0100000000000002, 1.88829300E+00
2.02, 1.90916700E+00
2.0300000000000002, 1.90919000E+00
2.04, 1.92750100E+00
2.05, 1.93479600E+00
2.06, 1.94378900E+00
2.07, 1.95624200E+00
2.08, 1.96352900E+00
2.09, 1.97494100E+00
2.1, 1.98222700E+00
2.11, 1.99031000E+00
2.12, 2.00327000E+00
2.13, 2.01053700E+00
2.14, 2.02157000E+00
2.15, 2.02885500E+00
2.16, 2.04170500E+00
2.17, 2.04979700E+00
2.18, 2.05711100E+00
2.19, 2.06928700E+00
2.2, 2.07657300E+00
2.21, 2.08901600E+00
2.22, 2.09746100E+00
2.23, 2.10766800E+00
2.24, 2.11575800E+00
2.25, 2.12303200E+00
2.2600000000000002, 2.12303200E+00
2.27, 2.14407300E+00
2.2800000000000002, 2.14404500E+00
2.29, 2.16269800E+00
2.3000000000000003, 2.16270400E+00
2.31, 2.18241000E+00
2.32, 2.19139800E+00
2.33, 2.20163800E+00
2.34, 2.20969900E+00
2.35, 2.22250100E+00
2.36, 2.22978900E+00
2.37, 2.23783900E+00
2.38, 2.24804700E+00
2.39, 2.25664400E+00
2.4, 2.26905900E+00
2.41, 2.27667900E+00
2.42, 2.28812700E+00
2.43, 2.29540100E+00
2.44, 2.30347900E+00
2.45, 2.31593300E+00
2.46, 2.32323200E+00
2.47, 2.33422100E+00
2.48, 2.34149500E+00
2.49, 2.35430600E+00
2.5, 2.36236400E+00
2.5100000000000002, 2.36238000E+00
2.52, 2.38120700E+00
2.5300000000000002, 2.38120800E+00
2.54, 2.40093900E+00
2.5500000000000003, 2.40089300E+00
2.56, 2.41665700E+00
2.57, 2.42766300E+00
2.58, 2.43492900E+00
2.59, 2.44825700E+00
2.6, 2.45631400E+00
2.61, 2.46650600E+00
2.62, 2.47494300E+00
2.63, 2.48219800E+00
2.64, 2.49461100E+00
2.65, 2.50315500E+00
2.66, 2.51338000E+00
2.67, 2.52145300E+00
2.68, 2.53425400E+00
2.69, 2.54149700E+00
2.7, 2.54956600E+00
2.71, 2.55979300E+00
2.72, 2.56721400E+00
2.73, 2.57960400E+00
2.74, 2.58685100E+00
2.75, 2.59529900E+00
2.7600000000000002, 2.59526600E+00
2.77, 2.61354000E+00
2.7800000000000002, 2.61354900E+00
2.79, 2.63372700E+00
2.8000000000000003, 2.63365200E+00
2.81, 2.65186500E+00
2.82, 2.66021800E+00
2.83, 2.67253100E+00
2.84, 2.67971800E+00
2.85, 2.69149800E+00
2.86, 2.69866200E+00
2.87, 2.71095000E+00
2.88, 2.71922000E+00
2.89, 2.72636200E+00
2.9, 2.73723800E+00
2.91, 2.74443500E+00
2.92, 2.75727400E+00
2.93, 2.76524200E+00
2.94, 2.77539300E+00
2.95, 2.78379400E+00
2.96, 2.79104300E+00
2.97, 2.80341600E+00
2.98, 2.81148200E+00
2.99, 2.82166100E+00
3.0, 2.82972800E+00
3.0100000000000002, 2.82972400E+00
3.02, 2.84979700E+00
3.0300000000000002, 2.84977900E+00
3.04, 2.86802200E+00
3.0500000000000003, 2.86802100E+00
3.06, 2.88898400E+00
3.0700000000000003, 2.88898800E+00
3.08, 2.90470400E+00
3.09, 2.91492200E+00
3.1, 2.92296000E+00
3.11, 2.93627900E+00
3.12, 2.94355300E+00
3.13, 2.95455500E+00
3.14, 2.96188200E+00
3.15, 2.97026700E+00
3.16, 2.98264800E+00
3.17, 2.98991500E+00
3.18, 3.00141100E+00
3.19, 3.00867600E+00
3.2, 3.01673400E+00
3.21, 3.02952300E+00
3.22, 3.03680500E+00
3.23, 3.04778200E+00
3.24, 3.05508900E+00
3.25, 3.06868800E+00
3.2600000000000002, 3.06874000E+00
3.27, 3.08407300E+00
3.2800000000000002, 3.08412500E+00
3.29, 3.10277900E+00
3.3000000000000003, 3.10281900E+00
3.31, 3.12383400E+00
3.3200000000000003, 3.12385700E+00
3.33, 3.14218000E+00
3.34, 3.14947300E+00
3.35, 3.16227400E+00
3.36, 3.17041200E+00
3.37, 3.18062400E+00
3.38, 3.18963400E+00
3.39, 3.19691700E+00
3.4, 3.20935600E+00
3.41, 3.21781500E+00
3.42, 3.22803700E+00
3.43, 3.23607600E+00
3.44, 3.24903000E+00
3.45, 3.25631400E+00
3.46, 3.26439100E+00
3.47, 3.27461000E+00
3.48, 3.28309900E+00
3.49, 3.29553400E+00
3.5, 3.30282500E+00
3.5100000000000002, 3.30281000E+00
3.52, 3.32114600E+00
3.5300000000000002, 3.32114500E+00
3.54, 3.34205700E+00
3.5500000000000003, 3.34207000E+00
3.56, 3.36036400E+00
3.5700000000000003, 3.36035100E+00
3.58, 3.38054500E+00
3.59, 3.38860400E+00
3.6, 3.39586000E+00
3.61, 3.40724900E+00
3.62, 3.41453400E+00
3.63, 3.42694000E+00
3.64, 3.43591000E+00
3.65, 3.44313700E+00
3.66, 3.45411900E+00
3.67, 3.46144300E+00
3.68, 3.47426300E+00
3.69, 3.48234600E+00
3.7, 3.49259100E+00
3.71, 3.50119000E+00
3.72, 3.50849200E+00
3.73, 3.52096100E+00
3.74, 3.52947600E+00
3.75, 3.53974500E+00
3.7600000000000002, 3.53982500E+00
3.77, 3.56572300E+00
3.7800000000000002, 3.56568100E+00
3.79, 3.57590600E+00
3.8000000000000003, 3.57593300E+00
3.81, 3.59676100E+00
3.8200000000000003, 3.59676000E+00
3.83, 3.61501100E+00
3.84, 3.62228800E+00
3.85, 3.63520300E+00
3.86, 3.64321800E+00
3.87, 3.65339000E+00
3.88, 3.66185300E+00
3.89, 3.67428900E+00
3.9, 3.68160700E+00
3.91, 3.69059500E+00
3.92, 3.70083200E+00
3.93, 3.70890300E+00
3.94, 3.72177500E+00
3.95, 3.72905100E+00
3.96, 3.74008200E+00
3.97, 3.74740000E+00
3.98, 3.75606800E+00
3.99, 3.76852300E+00
4.0, 3.77588000E+00
4.01, 3.78735600E+00
4.0200000000000005, 3.78741800E+00
4.03, 3.80282800E+00
4.04, 3.81526900E+00
4.05, 3.82261200E+00
4.0600000000000005, 3.82271000E+00
4.07, 3.84100100E+00
4.08, 3.85384100E+00
4.09, 3.86192300E+00
4.1, 3.86926300E+00
4.11, 3.88080000E+00
4.12, 3.88811800E+00
4.13, 3.90057100E+00
4.14, 3.90906800E+00
4.15, 3.91930000E+00
4.16, 3.92745200E+00
4.17, 3.93478700E+00
4.18, 3.94814500E+00
4.19, 3.95622900E+00
4.2, 3.96645300E+00
4.21, 3.97490500E+00
4.22, 3.98219700E+00
4.23, 3.99461400E+00
4.24, 4.00322000E+00
4.25, 4.01344400E+00
4.26, 4.02153800E+00
4.2700000000000005, 4.02151400E+00
4.28, 4.04164800E+00
4.29, 4.04976700E+00
4.3, 4.06003100E+00
4.3100000000000005, 4.06004400E+00
4.32, 4.08170400E+00
4.33, 4.08898600E+00
4.34, 4.10046100E+00
4.3500000000000005, 4.10050200E+00
4.36, 4.11590900E+00
4.37, 4.12896200E+00
4.38, 4.13633000E+00
4.39, 4.14738800E+00
4.4, 4.15476500E+00
4.41, 4.16766100E+00
4.42, 4.17582400E+00
4.43, 4.18316300E+00
4.44, 4.19514600E+00
4.45, 4.20250800E+00
4.46, 4.21496900E+00
4.47, 4.22348200E+00
4.48, 4.23079900E+00
4.49, 4.24183300E+00
4.5, 4.24920400E+00
4.51, 4.26222500E+00
4.5200000000000005, 4.26227200E+00
4.53, 4.28063800E+00
4.54, 4.28914900E+00
4.55, 4.29647500E+00
4.5600000000000005, 4.29650600E+00
4.57, 4.31709000E+00
4.58, 4.32737700E+00
4.59, 4.33556100E+00
4.6000000000000005, 4.33565100E+00
4.61, 4.35580600E+00
4.62, 4.36393200E+00
4.63, 4.37423100E+00
4.64, 4.38289800E+00
4.65, 4.39537200E+00
4.66, 4.40271900E+00
4.67, 4.41124700E+00
4.68, 4.42158300E+00
4.69, 4.42976000E+00
4.7, 4.44315300E+00
4.71, 4.45050500E+00
4.72, 4.46163500E+00
4.73, 4.46906200E+00
4.74, 4.47764400E+00
4.75, 4.49026500E+00
4.76, 4.49771200E+00
4.7700000000000005, 4.49786900E+00
4.78, 4.51679700E+00
4.79, 4.52935400E+00
4.8, 4.53793800E+00
4.8100000000000005, 4.53803400E+00
4.82, 4.55647100E+00
4.83, 4.56386900E+00
4.84, 4.57563800E+00
4.8500000000000005, 4.57582400E+00
4.86, 4.59116100E+00
4.87, 4.60261600E+00
4.88, 4.60996800E+00
4.89, 4.62253500E+00
4.9, 4.63122300E+00
4.91, 4.64155100E+00
4.92, 4.64972600E+00
4.93, 4.65716200E+00
4.94, 4.67006600E+00
4.95, 4.67838600E+00
4.96, 4.68853500E+00
4.97, 4.69756500E+00
4.98, 4.71005400E+00
4.99, 4.71742200E+00
