src,mult,ch1,ch2,vup,vdown
9.090, 9.080, 9.008, 8.650, 9.096, 8.770
9.100, 9.088, 9.017, 8.660, 9.104, 8.780
9.110, 9.099, 9.029, 8.674, 9.114, 8.791
9.120, 9.107, 9.038, 8.686, 9.127, 8.801
9.130, 9.121, 9.049, 8.699, 9.135, 8.812
9.140, 9.129, 9.054, 8.705, 9.145, 8.826
9.150, 9.137, 9.061, 8.718, 9.153, 8.831
9.160, 9.149, 9.072, 8.729, 9.165, 8.846
9.170, 9.157, 9.080, 8.738, 9.174, 8.851
9.180, 9.170, 9.092, 8.748, 9.187, 8.862
9.190, 9.179, 9.097, 8.759, 9.199, 8.875
9.200, 9.190, 9.108, 8.769, 9.209, 8.883
9.210, 9.199, 9.116, 8.775, 9.215, 8.897
9.220, 9.207, 9.129, 8.786, 9.217, 8.901
9.230, 9.220, 9.146, 8.798, 9.236, 8.912
9.240, 9.229, 9.151, 8.804, 9.245, 8.921
9.250, 9.239, 9.160, 8.821, 9.256, 8.929
9.260, 9.249, 9.168, 8.831, 9.262, 8.943
9.270, 9.262, 9.177, 8.840, 9.275, 8.952
9.280, 9.269, 9.187, 8.848, 9.288, 8.966
9.290, 9.278, 9.198, 8.854, 9.295, 8.971
9.300, 9.289, 9.211, 8.864, 9.303, 8.985
9.310, 9.298, 9.218, 8.870, 9.312, 8.996
9.320, 9.311, 9.232, 8.883, 9.325, 9.004
9.330, 9.319, 9.238, 8.893, 9.339, 9.014
9.340, 9.327, 9.248, 8.900, 9.346, 9.018
9.350, 9.338, 9.265, 8.915, 9.357, 9.027
9.360, 9.347, 9.276, 8.920, 9.365, 9.040
9.370, 9.360, 9.292, 8.934, 9.377, 9.055
9.380, 9.368, 9.299, 8.939, 9.385, 9.059
9.390, 9.380, 9.315, 8.953, 9.400, 9.071
9.400, 9.388, 9.324, 8.965, 9.410, 9.084
9.410, 9.396, 9.332, 8.974, 9.416, 9.088
9.420, 9.410, 9.348, 8.990, 9.426, 9.102
9.430, 9.417, 9.360, 8.998, 9.433, 9.113
9.440, 9.429, 9.373, 9.010, 9.444, 9.124
9.450, 9.437, 9.382, 9.018, 9.452, 9.132
9.460, 9.451, 9.398, 9.033, 9.467, 9.141
9.470, 9.460, 9.407, 9.041, 9.480, 9.155
9.480, 9.467, 9.408, 9.050, 9.485, 9.162
9.490, 9.479, 9.419, 9.067, 9.497, 9.177
9.500, 9.487, 9.427, 9.072, 9.506, 9.185
9.510, 9.500, 9.440, 9.085, 9.515, 9.195
9.520, 9.509, 9.448, 9.093, 9.531, 9.206
9.530, 9.517, 9.456, 9.099, 9.538, 9.212
