MULT,CH1,CH2
1.45778600E+00,1.5,1.5
1.46857800E+00,1.5008684210526317,1.52
1.47708800E+00,1.52,1.52
1.48482600E+00,1.52,1.54
1.49836200E+00,1.54,1.54
1.50696700E+00,1.54,1.56
1.51777800E+00,1.56,1.56
1.52732800E+00,1.56,1.58
1.53499600E+00,1.58,1.58
1.54814800E+00,1.58,1.6
1.55713200E+00,1.6,1.6
1.56795100E+00,1.602236842105263,1.62
1.57647500E+00,1.62,1.62
1.59022100E+00,1.6343947368421052,1.64
1.59786600E+00,1.64,1.64
1.60648500E+00,1.64,1.66
1.61726800E+00,1.66,1.66
1.61726100E+00,1.66,1.66
1.61722300E+00,1.66,1.66
1.61724800E+00,1.66,1.66
1.61724800E+00,1.66,1.66
1.66827400E+00,1.7000526315789473,1.72
1.67685000E+00,1.72,1.72
1.69035200E+00,1.733578947368421,1.74
1.69804800E+00,1.74,1.74
1.70971000E+00,1.754921052631579,1.76
1.71743600E+00,1.76,1.76
1.72647900E+00,1.76,1.78
1.73965100E+00,1.78,1.7806052631578948
1.74734900E+00,1.780421052631579,1.8
1.75934900E+00,1.8,1.8000526315789473
1.76709000E+00,1.800236842105263,1.82
1.78023200E+00,1.82,1.822763157894737
1.78974800E+00,1.838578947368421,1.84
1.79743300E+00,1.84,1.84
1.80905700E+00,1.855921052631579,1.86
1.81675200E+00,1.86,1.86
1.83031400E+00,1.8776842105263158,1.88
1.83884800E+00,1.88,1.8800263157894737
1.84966000E+00,1.8832894736842107,1.9
1.85876300E+00,1.9,1.9000263157894737
1.86648300E+00,1.9,1.92
1.86651100E+00,1.9,1.92
1.86646500E+00,1.9000263157894737,1.92
1.86646600E+00,1.9000263157894737,1.92
1.86647700E+00,1.9001052631578947,1.92
1.91563200E+00,1.96,1.96
1.92873500E+00,1.98,1.98
1.93726500E+00,1.98,1.9999736842105262
1.94808200E+00,2.0,2.0
1.95701700E+00,2.0000263157894738,2.02
1.97014000E+00,2.02,2.02
1.97788400E+00,2.020026315789474,2.04
1.98696300E+00,2.04,2.04
1.99776200E+00,2.04,2.06
1.99776600E+00,2.04,2.06
2.01984300E+00,2.067815789473684,2.08
2.01983500E+00,2.0724473684210527,2.08
2.03919500E+00,2.084736842105263,2.1
2.04688300E+00,2.1,2.1
2.05642900E+00,2.1,2.12
2.06954400E+00,2.12,2.12
2.07729900E+00,2.12,2.14
2.08933700E+00,2.14,2.14
2.09705400E+00,2.140026315789474,2.16
2.10561600E+00,2.16,2.16
2.11929000E+00,2.1652105263157897,2.18
2.12698700E+00,2.18,2.18
2.13867100E+00,2.180815789473684,2.2
2.14632800E+00,2.2,2.2
2.15986800E+00,2.200026315789474,2.22
2.16845100E+00,2.22,2.22
2.17613900E+00,2.22,2.24
2.18900300E+00,2.24,2.24
2.19672300E+00,2.24,2.26
