slA_ch1,v_meas_ch2
1950.0,2.204588785046729
1960.0,2.2152391304347825
1970.0,2.2265315315315313
1980.0,2.238238095238095
1990.0,2.250294117647059
2000.0,2.2616559139784944
2010.0,2.2743399999999996
2020.0,2.284586206896552
2030.0,2.2978695652173915
2040.0,2.305256
2050.0,2.3181999999999996
2060.0,2.328286956521739
2070.0,2.3375066666666666
2080.0,2.3513018867924527
2090.0,2.358849056603774
2100.0,2.374271844660194
2110.0,2.3834095238095236
2120.0,2.394
2130.0,2.4048947368421048
2140.0,2.4205405405405402
2150.0,2.4290521739130435
2160.0,2.441421052631579
2170.0,2.4503883495145633
2180.0,2.4628315789473687
2190.0,2.4748018867924526
2200.0,2.4850135135135134
2210.0,2.4970210526315793
2220.0,2.5056136363636363
2230.0,2.5224499999999996
2240.0,2.52995
2250.0,2.542734693877551
2260.0,2.5521428571428575
2270.0,2.5666470588235293
2280.0,2.576835820895522
2290.0,2.586573333333334
2300.0,2.598163043478261
2310.0,2.611609195402299
2320.0,2.619946902654867
2330.0,2.630875
2340.0,2.644134020618557
2350.0,2.6548850574712644
2360.0,2.6668623853211013
2370.0,2.6767368421052633
2380.0,2.689728260869565
2390.0,2.6998387096774197
2400.0,2.712181818181818
2410.0,2.721513513513514
2420.0,2.7338666666666667
2430.0,2.744969387755102
2440.0,2.7593116883116884
2450.0,2.766714285714286
2460.0,2.77903125
2470.0,2.7916000000000003
2480.0,2.8113956043956043
2490.0,2.8157912087912087
2500.0,2.8218421052631575
2510.0,2.8353835616438356
2520.0,2.8459504950495047
2530.0,2.8602073170731708
2540.0,2.868037037037037
2550.0,2.8824035087719295
2560.0,2.8898181818181814
2570.0,2.9036521739130436
2580.0,2.914958762886598
2590.0,2.925925925925926
2600.0,2.935714285714286
2610.0,2.946
2620.0,2.961890909090909
2630.0,2.9687027027027026
2640.0,2.983201834862385
2650.0,2.9916249999999995
2660.0,3.006068181818182
2670.0,3.0166326530612246
2680.0,3.0292763157894735
2690.0,3.0398
2700.0,3.0507752808988764
2710.0,3.0630416666666664
2720.0,3.0768636363636372
2730.0,3.085227272727273
2740.0,3.0964
2750.0,3.108
2760.0,3.119
2770.0,3.1297843137254904
2780.0,3.1402750000000004
2790.0,3.1545826086956525
2800.0,3.1626363636363637
2810.0,3.173927710843374
2820.0,3.184336448598131
2830.0,3.1977808219178083
2840.0,3.2081176470588235
2850.0,3.218722891566265
2860.0,3.231777777777778
2870.0,3.242805970149254
2880.0,3.25704
2890.0,3.271215053763441
2900.0,3.282304347826087
2910.0,3.286652173913043
2920.0,3.302074380165289
2930.0,3.309512396694215
2940.0,3.3209130434782606
2950.0,3.333909090909091
2960.0,3.344745283018868
2970.0,3.3553663366336632
2980.0,3.3666
2990.0,3.379607594936709
3000.0,3.387489583333333
3010.0,3.4041130434782607
3020.0,3.412404255319149
3030.0,3.4234845360824746
3040.0,3.4328
3050.0,3.4474888888888886
3060.0,3.457855670103093
3070.0,3.470571428571428
3080.0,3.47947572815534
3090.0,3.4922448979591834
3100.0,3.5054666666666665
3110.0,3.5138681318681315
3120.0,3.5247272727272723
3130.0,3.534363636363636
3140.0,3.5480595238095236
3150.0,3.5595764705882353
3160.0,3.5713956043956046
3170.0,3.581564814814815
3180.0,3.593493827160494
3190.0,3.6041764705882353
3200.0,3.619333333333333
3210.0,3.6274285714285717
3220.0,3.6415806451612904
3230.0,3.6489583333333333
3240.0,3.6591250000000004
3250.0,3.671915254237288
3260.0,3.68
